id,Company,TypeName,Inches,Ram,OpSys,Weight,Price_euros,Touchscreen,IPS,Total_pixels,CPU_GHz,CPU_brand,CPU_model,SSD_GB,HDD_GB,Hybrid_GB,GPU_Intel,GPU_AMD,GPU_Nvidia
253,10,0,13.9,8,3,1.37,1849.0,1,1,2073600,1.8,1,13,512,0,0,620,0,0
1,1,4,13.3,8,4,1.34,898.94,0,0,1296000,1.8,1,12,128,0,0,6000,0,0
967,7,3,15.6,4,3,2.04,685.0,0,0,2073600,2.4,1,11,0,500,0,620,0,0
674,7,0,14.0,4,3,1.63,699.0,1,1,2073600,2.4,1,11,128,0,0,0,0,940
975,7,3,15.6,8,3,2.04,979.0,0,1,2073600,2.7,1,12,128,1024,0,0,0,930
1280,7,3,15.6,6,3,2.04,549.99,0,0,2073600,2.9,0,7,0,0,1024,0,7,0
702,10,3,15.6,8,3,2.2,429.0,0,0,1049088,3.6,0,9,0,1024,0,0,7,0
585,11,1,17.3,16,3,4.5,2349.0,0,0,2073600,2.7,1,13,128,1024,0,0,0,980
1273,7,3,15.6,6,3,2.19,764.0,0,0,1049088,2.5,1,13,0,1024,0,0,5,0
755,10,0,13.3,8,3,1.3,1199.0,1,1,5760000,1.8,1,12,256,0,0,540,0,0
325,10,3,14.0,4,3,1.44,292.0,0,0,1049088,1.1,1,1,32,0,0,500,0,0
92,7,3,13.3,16,3,1.49,1197.0,0,0,2073600,1.8,1,13,512,0,0,620,0,0
496,10,3,15.6,8,3,2.17,898.9,0,0,2073600,1.8,1,13,256,0,0,620,0,0
1010,4,1,15.6,8,3,2.65,949.0,0,0,2073600,2.5,1,12,0,0,1024,0,0,1050
538,7,1,17.3,12,3,2.62,1799.0,0,0,2073600,2.8,1,13,0,1024,0,0,0,1060
973,16,3,14.0,8,3,1.95,1180.0,0,0,2073600,2.3,1,12,256,0,0,520,0,0
914,0,3,15.6,4,3,2.4,499.0,0,0,2073600,2.4,1,11,0,1024,0,620,0,0
984,16,3,14.0,4,3,1.75,915.0,0,0,1049088,2.3,1,12,0,500,0,520,0,0
1095,0,3,15.6,8,3,2.4,799.0,0,0,2073600,2.5,1,12,256,1024,0,0,0,950
477,10,3,14.0,8,3,1.7,1364.0,0,0,2073600,2.5,1,12,180,0,0,620,0,0
376,10,2,11.6,4,3,1.59,553.0,0,1,1049088,1.1,1,1,128,0,0,500,0,0
567,5,3,15.6,8,3,2.2,739.0,0,0,1049088,2.5,1,12,0,1024,0,620,0,0
698,16,4,13.3,16,3,1.36,1877.0,1,0,2073600,2.5,1,13,512,0,0,520,0,0
756,7,3,15.6,8,3,2.2,1099.0,0,1,2073600,2.5,1,12,128,1024,0,0,0,1050
517,2,1,15.6,24,3,2.24,2968.0,0,0,2073600,2.8,1,13,512,0,0,0,0,1080
1107,10,0,15.6,4,3,2.1,867.0,1,1,2073600,2.3,1,12,256,0,0,520,0,0
327,2,4,15.6,8,3,1.7,1049.9,0,0,2073600,2.7,1,13,256,0,0,0,0,940
4,1,4,13.3,8,4,1.37,1803.6,0,1,4096000,3.1,1,12,256,0,0,650,0,0
1164,7,3,15.6,4,2,2.1,476.99,0,0,1049088,2.3,1,12,0,500,0,520,0,0
999,7,4,14.0,8,3,1.48,2089.0,0,0,2073600,2.7,1,13,512,0,0,620,0,0
281,4,3,15.6,4,1,2.25,428.0,0,0,2073600,2.0,1,11,0,1024,0,0,5,0
1211,2,3,15.6,16,3,2.2,1749.0,0,0,2073600,2.8,1,13,128,1024,0,0,0,1060
528,4,3,15.6,4,3,2.3,585.0,0,0,2073600,2.5,1,12,0,500,0,0,5,0
728,4,3,15.6,8,1,2.32,589.52,0,0,1049088,2.5,1,12,0,1024,0,0,7,0
939,4,1,17.3,16,3,4.36,2758.0,0,0,3686400,2.7,1,13,512,1024,0,0,0,1080
1070,4,3,15.6,4,3,2.06,481.98,0,0,1049088,2.3,1,11,0,500,0,520,0,0
416,4,3,13.3,4,3,1.65,689.0,0,0,1049088,2.0,1,11,128,0,0,520,0,0
56,7,3,15.6,4,3,1.91,439.0,0,0,2073600,2.0,1,11,128,0,0,520,0,0
430,15,2,11.6,4,0,1.15,269.0,0,0,1049088,1.6,1,1,16,0,0,400,0,0
366,4,3,17.3,8,3,2.8,1085.0,0,0,2073600,1.6,1,12,128,1024,0,0,530,0
218,4,4,14.0,8,3,1.6,1149.0,0,0,2073600,1.6,1,12,256,0,0,620,0,0
429,12,0,11.6,4,3,1.16,299.0,1,1,2073600,1.1,1,1,32,0,0,500,0,0
716,4,3,15.6,8,3,1.9,1179.0,0,0,2073600,2.6,1,12,256,0,0,620,0,0
340,4,3,15.6,4,1,2.2,274.9,0,0,1049088,1.6,1,1,0,500,0,0,0,0
259,10,0,15.6,8,3,2.0,1699.0,1,1,2073600,2.8,1,13,512,0,0,0,0,1050
1145,7,5,15.6,8,3,2.0,1899.0,0,0,2073600,2.6,1,13,256,0,0,0,0,1000
476,4,5,15.6,8,3,1.78,2408.0,0,0,2073600,2.8,1,13,256,0,0,0,0,1200
333,10,3,15.6,4,3,1.85,449.0,0,0,2073600,2.0,1,11,0,1024,0,520,0,0
91,0,3,15.6,8,3,2.2,689.0,0,0,2073600,1.8,1,13,0,1024,0,0,0,150
1058,4,0,13.3,12,3,1.6,1299.0,1,1,2073600,2.7,1,13,256,0,0,620,0,0
520,10,1,15.6,8,3,3.2,1399.0,0,1,2073600,2.8,1,13,256,1024,0,0,0,1060
124,0,3,15.6,4,3,2.1,451.0,0,0,1049088,3.0,0,7,256,0,0,0,5,0
868,0,3,14.0,8,3,1.56,902.0,0,1,2073600,2.5,1,12,256,0,0,620,0,0
110,2,4,15.6,16,3,1.5,1262.0,0,0,2073600,1.8,1,13,256,1024,0,0,0,150
794,1,4,12.0,8,4,0.92,1165.0,0,1,3317760,1.2,1,10,512,0,0,5300,0,0
825,16,3,14.0,4,3,1.75,499.0,0,0,1049088,2.1,1,2,128,0,0,510,0,0
736,7,5,15.6,16,3,2.6,2419.0,0,0,2073600,2.8,1,13,256,0,0,0,0,2200
1155,7,3,15.6,4,3,1.91,478.89,0,0,2073600,2.5,0,5,256,0,0,0,520,0
1105,4,4,12.5,8,3,1.5,1413.1,0,0,1049088,2.3,1,12,256,0,0,520,0,0
267,10,3,15.6,4,2,2.2,467.0,0,0,2073600,2.5,1,12,0,1024,0,620,0,0
607,10,3,15.6,6,3,2.4,564.0,0,0,2073600,2.5,1,12,0,1024,0,620,0,0
492,2,1,15.6,8,3,1.99,1350.0,0,0,2073600,2.8,1,13,128,1024,0,0,0,1050
928,4,3,15.6,4,3,2.18,708.06,0,0,1049088,2.5,1,12,0,1024,0,620,0,0
367,10,1,15.6,8,2,2.4,809.0,0,1,2073600,2.5,1,12,128,1024,0,0,0,1050
956,4,0,13.3,8,3,1.24,1899.0,1,0,2073600,1.2,1,12,256,0,0,615,0,0
926,10,4,12.5,8,3,1.36,1650.0,0,1,2073600,2.7,1,13,256,0,0,620,0,0
1201,10,3,15.6,8,2,2.2,629.0,0,0,1049088,2.5,1,13,0,500,0,0,0,920
279,10,3,17.3,8,2,2.8,849.0,0,0,2073600,1.8,1,13,0,2048,0,0,0,150
358,4,3,15.6,8,3,2.36,557.37,1,0,1049088,2.5,1,12,0,2048,0,620,0,0
182,10,0,13.9,16,3,1.4,1849.0,1,1,8294400,1.8,1,13,512,0,0,620,0,0
1262,4,3,15.6,6,3,2.3,459.0,0,0,1049088,2.4,1,11,0,1024,0,620,0,0
426,4,3,15.6,8,3,2.02,1142.4,0,0,2073600,1.8,1,13,256,2048,0,0,530,0
1227,4,3,15.6,4,1,2.18,521.86,0,0,1049088,2.5,1,12,0,1024,0,520,0,0
493,0,3,15.6,8,3,2.2,579.0,0,0,1049088,2.5,0,8,0,1024,0,0,540,0
57,2,3,15.6,4,3,2.0,586.19,0,0,1049088,2.5,1,12,256,0,0,620,0,0
149,0,3,15.6,4,3,2.1,447.0,0,0,1049088,2.0,1,11,0,1024,0,520,0,0
1059,11,1,15.6,16,3,2.94,1819.0,0,0,2073600,2.6,1,13,256,1024,0,0,0,1060
682,4,1,15.6,16,3,3.21,2051.0,0,0,2073600,2.5,1,12,128,1024,0,0,0,1060
837,16,3,15.6,4,3,2.0,669.0,0,0,1049088,2.4,1,11,0,500,0,620,0,0
1094,7,2,12.5,4,3,2.4,1599.0,0,0,1049088,2.3,1,12,128,0,0,520,0,0
288,10,1,15.6,16,3,2.5,1179.0,0,1,2073600,2.8,1,13,256,1024,0,0,0,1050
838,10,3,14.0,4,0,1.5,325.0,0,0,1049088,1.6,1,1,16,0,0,400,0,0
547,10,3,15.6,4,2,2.15,462.35,0,0,2073600,2.3,1,12,0,1024,0,520,0,0
1129,7,1,17.3,8,3,3.35,1129.0,0,1,2073600,2.3,1,12,128,1024,0,0,0,1060
206,4,3,15.6,6,3,2.3,439.0,1,0,1049088,2.4,1,11,0,1024,0,620,0,0
348,2,0,11.6,4,3,1.5,375.0,1,0,1049088,1.1,1,1,32,0,0,500,0,0
163,10,1,15.6,16,3,2.5,1079.0,0,1,2073600,2.8,1,13,256,0,0,0,0,1050
535,4,3,15.6,8,3,1.93,1369.0,0,0,2073600,2.8,1,13,256,0,0,0,0,930
1199,11,1,17.3,16,3,2.43,2048.9,0,0,2073600,2.8,1,13,256,1024,0,0,0,1060
1067,4,0,13.3,8,3,1.62,798.01,1,0,2073600,2.5,1,13,256,0,0,520,0,0
112,10,0,13.3,8,3,1.37,1399.0,1,1,2073600,2.5,1,12,256,0,0,620,0,0
900,4,0,13.3,8,3,1.24,2013.1,1,0,5760000,1.3,1,13,512,0,0,615,0,0
556,12,3,13.3,4,3,1.35,255.0,0,1,2073600,1.44,1,0,32,0,0,0,0,0
664,11,1,17.3,8,3,2.7,1486.77,0,0,2073600,2.8,1,13,128,1024,0,0,0,1060
575,12,3,14.0,4,3,1.4,249.0,0,0,2073600,1.44,1,0,32,0,0,0,0,0
805,7,2,12.5,8,3,1.26,1389.0,0,0,1049088,2.6,1,12,256,0,0,620,0,0
808,4,1,15.6,16,3,2.62,1679.0,0,0,8294400,2.8,1,13,512,0,0,0,0,1050
724,11,1,17.3,8,3,2.7,1348.48,0,0,2073600,2.8,1,13,128,1024,0,0,0,1050
505,10,3,13.3,8,3,1.44,949.0,0,0,2073600,2.5,1,12,256,0,0,620,0,0
1019,7,3,14.0,8,3,1.43,2229.0,0,0,2073600,2.5,1,13,256,0,0,520,0,0
326,0,3,15.6,6,3,2.23,549.0,0,0,1049088,2.5,1,12,0,1024,0,620,0,0
536,4,3,15.6,8,3,2.2,797.41,0,0,2073600,1.6,1,12,256,0,0,0,530,0
1108,7,3,15.6,4,3,2.1,398.0,0,0,2073600,2.5,0,5,0,1024,0,0,4,0
132,0,4,14.0,8,3,1.6,884.0,0,1,2073600,1.8,1,13,256,0,0,620,0,0
421,3,3,12.3,6,3,1.4,449.0,0,1,4990464,1.1,1,1,64,0,0,500,0,0
643,2,1,15.6,8,2,2.5,1169.0,0,1,2073600,2.8,1,13,0,1024,0,0,0,1050
512,4,3,15.6,8,3,2.18,836.0,0,0,2073600,2.5,1,12,0,1024,0,620,0,0
1232,4,3,15.6,8,3,2.3,469.01,1,0,1049088,2.4,1,11,0,1024,0,620,0,0
1080,10,4,12.5,8,3,0.99,1399.0,1,1,3686400,1.2,1,10,512,0,0,515,0,0
799,4,3,15.6,8,3,2.0,739.0,0,0,2073600,2.0,1,11,256,0,0,0,5,0
1049,2,2,11.6,4,0,1.2,287.9,0,0,1049088,1.6,1,1,16,0,0,400,0,0
347,4,4,15.6,16,3,1.88,1607.96,0,0,2073600,1.9,1,13,768,0,0,620,0,0
445,4,3,14.0,8,3,1.64,1179.0,0,0,2073600,2.8,1,12,256,0,0,0,0,930
224,4,1,17.3,16,3,4.42,2456.34,0,1,2073600,2.8,1,13,256,1024,0,0,0,1060
617,7,4,15.6,8,3,1.84,1389.0,0,0,2073600,2.7,1,13,512,0,0,620,0,0
667,7,3,15.6,8,3,2.1,745.0,0,0,2073600,2.7,1,13,0,1024,0,0,530,0
1113,7,4,13.3,8,3,1.16,1969.0,0,0,2073600,2.5,1,13,512,0,0,520,0,0
651,0,1,15.6,8,1,2.4,709.0,0,0,2073600,2.5,1,12,0,1024,0,0,0,1050
559,4,3,15.6,4,3,2.18,617.9,0,0,1049088,2.0,1,11,0,1024,0,0,5,0
1195,7,3,15.6,12,3,2.21,1327.0,0,1,2073600,2.8,1,13,128,1024,0,0,0,1050
341,10,3,15.6,12,3,2.2,899.0,0,0,2073600,3.6,0,9,0,2048,0,0,530,0
637,10,3,14.0,2,3,1.42,249.0,0,0,1049088,1.6,1,1,32,0,0,400,0,0
373,10,3,17.3,4,3,2.6,489.0,0,0,1440000,2.2,0,6,128,0,0,0,5,0
351,7,3,15.6,8,3,1.84,1304.0,0,0,2073600,2.7,1,13,256,0,0,620,0,0
744,10,5,15.6,16,3,2.5,3299.0,0,1,8294400,2.8,1,13,1024,0,0,0,0,520
179,7,0,13.3,8,3,1.29,1499.0,1,1,8294400,1.6,1,12,256,0,0,620,0,0
158,4,0,15.6,8,3,1.56,1049.0,1,0,2073600,1.8,1,13,256,0,0,620,0,0
548,7,3,15.6,4,3,1.86,397.0,0,0,2073600,2.0,1,11,0,500,0,520,0,0
746,15,4,13.3,16,3,0.81,1649.0,0,0,2073600,2.7,1,13,256,0,0,620,0,0
277,0,3,15.6,8,3,2.2,745.0,0,1,2073600,1.8,1,13,0,1024,0,0,0,130
930,10,3,15.6,4,3,2.2,309.0,0,0,1049088,1.1,1,2,0,1024,0,505,0,0
800,7,5,15.6,8,3,3.14,2064.9,0,0,2073600,2.8,1,13,256,0,0,0,0,2200
28,4,4,15.6,8,3,1.88,1298.0,0,0,2073600,1.9,1,13,512,0,0,620,0,0
1156,11,1,17.3,16,3,2.7,1492.8,0,0,2073600,2.8,1,13,256,1024,0,0,0,1050
230,2,3,15.6,4,3,2.37,398.99,0,0,1049088,2.4,1,11,0,1024,0,620,0,0
563,10,3,17.3,8,3,3.4,2999.0,0,1,2073600,2.8,1,13,256,0,0,0,0,620
976,10,3,14.0,4,3,1.7,1002.0,0,0,1049088,2.3,1,12,0,0,508,520,0,0
233,4,3,14.0,8,3,1.6,859.0,0,0,2073600,2.5,1,12,256,0,0,620,0,0
423,2,3,15.6,8,1,2.3,597.0,0,0,2073600,2.4,1,11,0,1024,0,0,0,940
1033,7,3,14.0,8,3,1.95,1195.0,0,0,2073600,2.3,1,12,256,0,0,520,0,0
581,4,3,15.6,8,3,1.9,1008.52,0,0,1049088,2.6,1,12,0,500,0,620,0,0
1057,0,3,15.6,8,3,2.4,449.0,0,0,1049088,2.2,0,6,0,1024,0,0,5,0
177,11,1,18.4,32,3,4.4,2799.0,0,0,2073600,2.9,1,13,512,1024,0,0,0,980
1158,10,3,15.6,8,3,2.5,788.49,0,0,2073600,2.3,1,12,0,0,1024,0,5,0
751,7,3,15.6,8,3,1.84,1900.0,0,0,2073600,2.4,1,12,256,0,0,520,0,0
394,4,3,15.6,8,1,2.33,778.87,0,0,2073600,2.7,1,13,256,0,0,0,7,0
1210,1,4,12.0,8,4,0.92,1279.0,0,1,3317760,1.2,1,10,512,0,0,515,0,0
368,4,3,15.6,8,3,2.33,899.0,0,0,2073600,2.7,1,13,256,0,0,0,7,0
164,0,3,15.6,4,3,2.1,348.0,0,0,1049088,1.1,1,1,0,1024,0,500,0,0
729,7,3,15.6,4,3,2.1,489.0,0,0,2073600,3.0,0,7,0,1024,0,0,520,0
560,0,0,11.6,4,3,1.25,349.0,1,1,2073600,2.0,1,1,32,0,0,500,0,0
139,7,3,13.3,4,3,1.32,699.0,0,1,2073600,2.5,1,12,256,0,0,620,0,0
665,16,3,15.6,4,3,2.1,498.0,0,0,1049088,2.1,1,11,128,0,0,520,0,0
1039,7,3,14.0,8,3,1.64,1010.51,0,0,2073600,2.5,1,12,256,0,0,620,0,0
186,4,3,15.6,16,3,2.06,2397.0,1,0,8294400,2.8,1,13,512,0,0,0,0,1050
399,10,4,14.0,16,3,1.13,2625.0,0,1,3686400,2.7,1,13,1024,0,0,620,0,0
963,16,4,12.5,8,3,1.1,1790.0,1,0,2073600,2.7,1,13,512,0,0,620,0,0
246,7,3,15.6,8,3,2.04,559.0,1,0,1049088,2.5,1,12,0,1024,0,620,0,0
1050,10,3,14.0,16,3,1.1,2620.0,0,1,3686400,2.6,1,13,256,0,0,520,0,0
361,2,3,14.0,8,3,2.0,945.0,0,0,2073600,2.5,1,12,256,0,0,620,0,0
986,7,3,15.6,8,3,2.04,806.0,0,0,2073600,2.5,1,12,0,1024,0,620,0,0
534,2,1,15.6,8,3,2.3,1649.0,0,1,2073600,2.5,1,12,128,1024,0,0,0,1060
1127,7,4,12.5,8,3,1.26,1895.0,0,0,1049088,2.4,1,12,256,0,0,520,0,0
295,10,1,15.6,8,3,3.2,1299.0,0,1,2073600,2.8,1,13,0,1024,0,0,0,1060
834,10,3,14.0,8,3,1.32,1650.0,0,1,2073600,2.6,1,12,256,0,0,620,0,0
721,7,0,13.3,8,3,1.58,836.6,1,1,1049088,2.5,1,12,256,0,0,620,0,0
840,2,1,17.3,16,3,2.73,1799.0,0,0,2073600,2.6,1,13,512,1024,0,0,0,1060
625,10,3,15.6,8,3,2.2,899.0,0,0,2073600,2.7,1,13,0,1024,0,0,0,920
862,16,3,13.3,4,3,1.05,1285.0,0,0,2073600,2.5,1,12,128,0,0,620,0,0
616,4,3,15.6,4,1,2.18,569.0,0,0,2073600,2.5,1,12,128,0,0,0,5,0
790,2,1,15.6,8,3,2.24,1339.0,0,0,2073600,2.8,1,13,128,1024,0,0,0,1060
1101,4,4,12.5,4,3,1.5,1166.97,0,0,1049088,2.3,1,11,128,0,0,520,0,0
1248,10,3,15.6,8,2,2.3,573.0,0,1,2073600,2.5,1,12,256,0,0,620,0,0
197,7,3,13.3,8,3,1.49,959.0,0,0,2073600,1.6,1,12,512,0,0,620,0,0
726,4,3,15.6,8,3,2.2,719.0,0,0,2073600,1.6,1,12,128,1024,0,0,530,0
339,4,3,15.6,8,3,2.0,1142.75,0,0,2073600,1.6,1,12,256,0,0,0,0,940
142,10,1,15.6,8,2,2.4,869.0,0,1,2073600,2.8,1,13,256,0,0,0,0,1050
1071,7,3,15.6,4,3,2.31,1199.0,0,0,1049088,2.3,1,12,0,500,0,520,0,0
654,7,3,15.6,4,2,1.86,364.9,0,0,1049088,2.0,1,11,0,500,0,520,0,0
1228,10,1,15.6,16,3,2.6,1029.0,1,1,2073600,2.6,1,13,128,1024,0,0,0,960
451,4,5,15.6,16,3,2.17,1975.0,0,1,2073600,2.7,1,13,256,0,0,0,0,620
255,4,4,13.3,8,3,1.41,949.0,0,0,2073600,1.6,1,12,256,0,0,620,0,0
955,4,1,17.3,16,3,4.36,3154.0,0,1,8294400,2.8,1,13,512,1024,0,0,0,1070
1109,2,1,15.6,16,3,2.59,1339.0,0,1,2073600,2.6,1,13,128,1024,0,0,0,960
23,4,0,13.3,8,3,1.62,819.0,1,0,2073600,1.6,1,12,256,0,0,620,0,0
549,10,3,15.6,8,3,1.99,1729.0,0,1,2073600,2.7,1,13,512,0,0,620,0,0
903,10,4,14.0,8,3,1.13,2049.0,0,1,2073600,2.7,1,13,256,0,0,620,0,0
1147,4,3,15.6,8,3,2.18,1009.9,0,0,2073600,2.7,1,13,256,0,0,0,0,940
123,7,3,17.3,16,3,2.5,1271.0,0,0,2073600,1.8,1,13,512,0,0,0,0,930
243,4,1,15.6,8,3,2.56,879.0,0,0,2073600,2.5,1,12,256,0,0,0,0,1050
839,2,3,15.6,8,3,2.3,590.0,0,0,2073600,2.5,1,12,0,128,0,620,0,0
331,16,3,15.6,8,3,2.0,943.0,0,1,2073600,2.5,1,12,256,0,0,620,0,0
1141,11,1,15.6,8,3,2.4,1142.8,0,0,2073600,2.8,1,13,128,1024,0,0,0,1050
1208,0,3,17.3,8,3,3.3,629.0,0,0,1440000,2.0,1,11,0,1024,0,0,0,940
1294,7,3,15.6,6,3,2.04,549.99,0,0,2073600,2.9,0,7,0,0,1024,0,7,0
670,13,4,13.5,8,3,1.252,1867.85,1,0,3393024,2.8,1,13,256,0,0,640,0,0
278,10,3,17.3,4,3,2.8,489.0,0,0,1440000,2.0,1,11,0,1024,0,520,0,0
1246,4,3,14.0,4,3,1.6,875.0,0,0,1049088,2.5,1,12,0,500,0,620,0,0
65,2,4,15.6,16,3,1.8,1983.0,0,0,2073600,2.8,1,13,512,0,0,0,0,1050
1060,7,3,15.6,8,3,2.04,1070.0,0,0,2073600,2.7,1,13,256,0,0,620,0,0
1014,7,3,13.3,4,3,1.49,800.0,0,0,1049088,2.4,1,11,0,500,0,620,0,0
165,11,1,15.6,16,3,2.4,1799.0,0,1,2073600,2.8,1,13,256,1024,0,0,0,1060
364,10,3,15.6,8,2,2.2,499.0,0,0,1049088,2.0,1,11,256,0,0,0,0,920
44,4,0,17.3,12,3,2.77,999.0,1,0,2073600,1.6,1,12,0,1024,0,0,0,150
1116,10,1,17.3,16,3,4.6,2749.99,0,1,2073600,2.7,1,13,256,0,1024,0,0,980
705,4,3,15.6,8,3,2.18,795.0,0,0,2073600,2.5,1,12,256,0,0,620,0,0
354,16,3,15.6,16,3,2.4,1403.0,0,1,2073600,2.5,1,13,512,0,0,0,0,930
995,2,3,13.3,8,3,1.4,1150.0,0,0,5760000,2.5,1,12,256,0,0,620,0,0
357,4,1,15.6,8,3,2.65,999.0,0,0,2073600,2.5,1,12,0,1024,0,0,0,1050
579,4,3,15.6,8,1,2.2,749.01,0,0,2073600,2.7,1,13,256,0,0,0,5,0
312,11,1,15.6,16,3,2.8,2099.0,0,1,2073600,2.8,1,13,256,1024,0,0,0,1070
938,4,4,14.0,8,3,1.36,1639.0,0,0,2073600,2.5,1,12,256,0,0,620,0,0
238,2,1,17.3,32,3,4.7,3890.0,0,0,2073600,2.9,1,13,512,1024,0,0,0,1080
622,4,3,15.6,4,3,2.2,776.0,0,0,2073600,1.6,1,12,0,1024,0,0,530,0
31,2,3,14.0,2,3,1.65,199.0,0,0,1049088,1.5,0,3,32,0,0,0,2,0
16,4,3,15.6,8,3,2.2,745.0,0,0,2073600,2.7,1,13,256,0,0,0,5,0
958,4,4,13.3,8,3,1.3,1268.0,0,0,5760000,2.5,1,13,256,0,0,520,0,0
129,7,3,17.3,8,3,2.5,928.0,0,0,2073600,1.6,1,12,256,0,0,620,0,0
795,10,0,14.0,8,3,1.42,2330.0,1,1,3686400,2.5,1,12,256,0,0,620,0,0
1154,4,3,15.6,8,3,2.04,2250.68,1,1,8294400,2.3,1,12,256,0,0,0,0,960
924,10,0,13.3,8,3,1.37,1825.0,1,1,2073600,2.5,1,12,512,0,0,620,0,0
730,0,1,17.3,16,3,4.2,1935.0,0,1,2073600,2.6,1,13,128,1024,0,0,0,1060
771,15,0,15.0,16,3,1.71,1799.0,1,0,2073600,2.7,1,13,256,0,0,0,540,0
