ID,RevolvingUtilizationOfUnsecuredLines,Age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,SeriousDlqin2yrs
44207,1.0,51,0,2.0,8000.0,7,0,1,0,0.0,0
109989,0.0,47,0,1.0,10096.0,11,0,1,0,3.0,0
114644,1.0,47,0,2.0,6591.0,11,0,2,0,0.0,0
127167,0.0,58,0,1.0,5000.0,11,0,2,1,0.0,0
52145,0.0,33,0,3.0,10000.0,12,0,2,0,1.0,0
1530,0.0,58,0,1.0,10400.0,11,0,1,0,1.0,0
105266,0.0,80,0,2.0,14100.0,18,0,2,0,1.0,0
16374,2.0,50,1,3.0,2000.0,7,0,1,0,1.0,1
98204,2.0,44,0,3.0,1450.0,6,0,0,0,0.0,0
58302,0.0,74,0,0.0,6500.0,5,0,0,0,1.0,0
39078,0.0,66,0,1.0,3238.0,7,0,0,0,0.0,0
112848,1.0,57,1,2.0,5775.0,15,1,0,1,1.0,0
66296,0.0,62,0,2.0,7000.0,8,0,3,0,1.0,0
116909,0.0,54,0,1.0,7000.0,16,0,1,0,0.0,0
93086,2.0,32,0,1.0,5000.0,4,1,0,0,2.0,0
38336,0.0,54,1,1.0,11947.0,11,0,2,0,2.0,0
101220,0.0,59,0,1.0,12000.0,10,0,2,0,2.0,0
2636,0.0,39,0,2.0,2750.0,4,0,2,0,0.0,0
18514,0.0,40,0,1.0,6800.0,15,0,1,0,1.0,0
15038,0.0,54,0,1.0,10791.0,10,0,1,0,0.0,0
81756,0.0,42,0,1.0,3500.0,15,0,0,0,1.0,0
129064,0.0,39,0,2.0,6666.0,10,0,2,0,1.0,0
108779,1.0,34,0,3.0,2500.0,9,0,1,0,0.0,0
49619,2.0,36,1,1.0,9696.0,9,1,0,0,0.0,0
36155,2.0,41,1,2.0,2379.0,12,0,1,1,1.0,1
63077,0.0,46,0,2.0,2300.0,13,0,1,0,1.0,0
61900,1.0,56,0,1.0,7501.0,14,0,0,0,0.0,0
9456,0.0,43,0,0.0,1719.0,13,0,0,0,0.0,0
62843,0.0,42,1,1.0,2900.0,4,0,0,0,1.0,0
37085,0.0,79,0,0.0,21920.0,3,0,0,0,0.0,0
55331,0.0,26,0,0.0,3291.0,3,0,0,0,0.0,0
6234,0.0,28,0,1.0,4583.0,10,0,1,0,0.0,0
145424,0.0,71,0,1.0,23000.0,10,0,2,0,1.0,0
95790,0.0,44,0,2.0,6000.0,7,0,1,0,2.0,0
119573,1.0,63,0,2.0,930.0,16,0,0,0,0.0,0
63942,0.0,74,0,1.0,520.0,6,0,0,0,0.0,0
82348,2.0,29,0,1.0,2541.0,3,0,0,0,2.0,0
136512,2.0,38,0,1.0,5833.0,4,0,0,0,3.0,0
40184,0.0,25,0,1.0,2084.0,5,0,0,0,0.0,0
7534,0.0,42,0,0.0,3333.0,1,0,0,0,0.0,0
26772,1.0,36,0,2.0,8066.0,15,0,2,0,1.0,0
133937,0.0,50,0,1.0,9800.0,14,0,1,0,0.0,0
73064,1.0,58,0,2.0,18183.0,9,0,2,0,1.0,0
101720,1.0,64,0,3.0,0.0,16,0,0,0,1.0,0
37621,0.0,46,0,1.0,6649.0,8,0,2,0,2.0,0
105901,2.0,31,0,1.0,3100.0,1,0,0,1,0.0,1
3083,0.0,72,0,0.0,4166.0,7,0,0,0,0.0,0
73680,1.0,58,0,1.0,6041.0,4,0,1,1,1.0,0
91807,0.0,61,0,1.0,14583.0,12,0,4,0,0.0,1
74267,0.0,42,1,1.0,6198.0,9,0,1,1,2.0,0
38205,2.0,52,0,2.0,10500.0,14,0,8,0,3.0,1
22987,0.0,80,0,1.0,8950.0,4,0,1,0,0.0,0
49311,0.0,37,1,1.0,4290.0,6,0,1,0,0.0,0
149695,2.0,32,0,2.0,2400.0,5,0,1,0,0.0,1
17701,0.0,71,1,2.0,7083.0,20,0,4,0,0.0,0
64929,0.0,55,0,0.0,12090.0,13,0,0,0,1.0,0
103703,2.0,42,0,2.0,9600.0,9,0,4,0,3.0,0
74950,0.0,67,0,0.0,6991.0,3,1,0,0,0.0,0
66824,0.0,67,0,1.0,3302.0,10,0,1,0,0.0,0
80553,0.0,81,0,0.0,12866.0,3,0,0,0,0.0,0
47723,0.0,53,0,1.0,5700.0,10,0,1,0,0.0,0
89454,1.0,63,0,2.0,7116.0,17,0,3,0,0.0,0
32457,2.0,35,0,1.0,8443.0,10,0,0,0,3.0,0
61139,0.0,30,1,1.0,3515.0,11,0,0,0,0.0,0
118444,0.0,41,0,0.0,3500.0,3,0,0,0,3.0,0
66855,1.0,64,0,3.0,8540.0,18,0,4,0,1.0,0
103639,1.0,52,0,2.0,5183.0,13,0,2,0,3.0,0
140316,0.0,43,0,2.0,4200.0,8,0,0,0,3.0,0
53938,2.0,75,0,1.0,2500.0,7,1,0,0,0.0,0
14538,0.0,51,0,2.0,12788.0,13,0,4,0,1.0,0
111512,0.0,54,0,1.0,3025.0,12,0,0,0,2.0,0
38908,0.0,60,0,1.0,8790.0,7,0,1,0,0.0,0
42490,0.0,43,0,2.0,3500.0,5,0,1,0,2.0,0
94281,1.0,54,0,1.0,5820.0,8,0,0,0,0.0,0
27850,2.0,49,1,1.0,10250.0,6,0,1,0,0.0,0
132145,0.0,50,0,1.0,5500.0,15,0,1,0,0.0,0
106408,0.0,45,0,1.0,7150.0,11,0,1,0,2.0,0
14723,2.0,37,0,1.0,6176.0,3,0,1,0,0.0,0
106557,0.0,51,0,1.0,7166.0,10,0,1,0,2.0,0
120610,2.0,39,0,2.0,5000.0,6,1,1,0,2.0,1
85611,2.0,73,1,2.0,3771.0,7,0,2,0,0.0,0
5789,0.0,55,0,1.0,8800.0,22,0,2,0,0.0,0
26223,0.0,45,0,1.0,4751.0,9,0,1,0,0.0,0
78872,2.0,58,1,3.0,1800.0,8,1,2,0,2.0,1
138453,0.0,63,0,0.0,5579.0,8,0,0,0,0.0,0
852,0.0,57,0,2.0,5476.0,14,0,1,0,0.0,0
11614,0.0,42,0,1.0,2002.0,7,0,0,0,0.0,0
86989,0.0,40,1,2.0,3100.0,15,0,1,1,0.0,1
135683,0.0,78,0,1.0,4028.0,4,0,0,0,0.0,0
67636,0.0,56,0,2.0,8160.0,11,0,2,0,2.0,0
117324,0.0,65,0,1.0,25000.0,7,0,2,0,0.0,0
119267,1.0,43,0,2.0,3333.0,7,0,1,0,0.0,0
35650,0.0,56,0,2.0,13580.0,9,0,3,0,1.0,0
33566,2.0,56,1,2.0,4080.0,7,1,1,1,0.0,1
101165,0.0,78,0,0.0,7027.0,18,0,0,0,0.0,0
121965,0.0,40,0,0.0,3875.0,1,0,0,0,0.0,0
21050,0.0,69,0,3.0,9000.0,7,0,3,0,0.0,0
110924,0.0,71,1,1.0,4500.0,10,0,1,0,0.0,0
128229,1.0,55,1,2.0,9166.0,9,0,1,0,0.0,0
32838,0.0,44,0,1.0,4813.0,11,0,1,0,1.0,0
29784,0.0,58,0,1.0,23200.0,6,0,4,0,1.0,0
72390,2.0,66,0,0.0,4961.0,5,0,0,0,0.0,0
55545,1.0,31,0,1.0,2365.0,8,0,0,0,0.0,0
148563,0.0,56,0,1.0,10516.0,11,0,1,0,0.0,0
21881,0.0,66,0,0.0,1251.0,2,0,0,0,0.0,0
24982,0.0,65,0,2.0,3700.0,14,1,1,0,0.0,0
34616,1.0,50,1,1.0,3382.0,8,0,1,1,3.0,0
19427,0.0,41,0,1.0,28000.0,12,0,1,0,2.0,0
128395,1.0,59,0,2.0,9694.0,18,0,2,0,1.0,0
92364,2.0,51,1,1.0,2500.0,6,0,0,0,1.0,0
17382,0.0,48,0,2.0,8370.0,15,0,5,0,3.0,0
144284,0.0,29,0,1.0,100.0,1,0,0,0,0.0,0
123928,0.0,70,0,1.0,11249.0,7,0,2,0,1.0,0
3451,0.0,56,0,2.0,4666.0,20,0,2,0,0.0,0
361,0.0,67,0,1.0,5666.0,9,0,0,0,0.0,0
52424,1.0,60,0,2.0,20000.0,17,0,3,0,0.0,0
104893,0.0,58,0,2.0,8125.0,21,0,2,0,1.0,0
39206,1.0,51,1,2.0,10250.0,23,0,2,0,2.0,0
32367,0.0,67,0,0.0,4300.0,20,0,0,0,0.0,0
60390,0.0,66,0,3.0,2668.0,11,0,3,0,0.0,0
52772,2.0,70,0,0.0,2600.0,1,0,0,0,0.0,0
7557,0.0,36,0,2.0,8400.0,12,0,3,0,0.0,0
139380,0.0,66,0,2.0,7000.0,4,0,1,0,1.0,0
112485,0.0,41,0,1.0,6500.0,10,0,1,0,3.0,0
117778,1.0,40,0,2.0,6813.0,18,0,1,0,1.0,0
146956,1.0,78,0,3.0,625.0,11,0,3,0,0.0,0
51255,2.0,46,0,2.0,3312.0,7,0,0,0,1.0,0
131867,0.0,60,0,1.0,11333.0,5,0,1,0,0.0,0
42337,0.0,54,0,0.0,2916.0,12,0,0,0,0.0,0
2407,2.0,46,1,2.0,2500.0,8,0,0,1,3.0,0
144300,0.0,57,0,1.0,7800.0,11,0,3,0,0.0,0
46525,0.0,46,0,3.0,0.0,8,0,2,0,0.0,0
128176,0.0,39,0,3.0,1.0,7,0,2,0,3.0,0
70811,0.0,55,0,2.0,9930.0,12,0,3,0,0.0,0
65671,1.0,66,1,2.0,1500.0,9,0,0,0,0.0,0
56825,2.0,50,0,1.0,10000.0,2,0,1,0,4.0,0
92741,2.0,31,0,2.0,9166.0,16,0,2,0,1.0,1
72951,1.0,70,0,2.0,4300.0,8,0,0,0,0.0,0
98646,0.0,78,0,1.0,3966.0,11,0,1,0,1.0,0
149789,0.0,65,0,1.0,4297.0,5,0,1,0,0.0,0
93155,0.0,55,0,1.0,8100.0,6,0,1,0,1.0,0
135574,0.0,45,0,0.0,11000.0,6,0,0,0,2.0,0
102010,0.0,33,0,2.0,2600.0,12,0,1,0,1.0,0
83668,0.0,40,0,2.0,5500.0,7,0,1,0,1.0,0
68254,0.0,65,0,1.0,8101.0,20,0,2,0,0.0,0
137893,0.0,57,1,2.0,1919.0,6,0,1,0,0.0,0
114689,1.0,47,0,2.0,9250.0,14,0,1,0,1.0,0
5684,2.0,51,0,0.0,4327.0,0,1,0,0,3.0,0
131808,0.0,45,0,0.0,6800.0,11,0,0,0,1.0,0
131513,1.0,66,0,2.0,6827.0,5,0,1,0,0.0,0
88085,1.0,33,0,1.0,3885.0,10,0,0,0,0.0,0
110085,0.0,53,0,1.0,15862.0,4,0,2,0,0.0,0
41952,0.0,57,0,1.0,2719.0,11,0,0,0,1.0,0
63874,2.0,26,1,1.0,3228.0,3,0,0,0,1.0,1
68142,0.0,72,0,1.0,6225.0,6,0,1,0,0.0,0
98631,0.0,40,0,1.0,7833.0,13,0,1,0,0.0,0
90184,2.0,55,0,2.0,10833.0,13,0,2,0,2.0,0
124638,2.0,55,0,2.0,6000.0,5,0,2,0,0.0,0
59792,0.0,50,0,0.0,9500.0,5,0,1,0,3.0,0
118594,0.0,52,0,1.0,3000.0,13,0,0,0,2.0,0
65803,1.0,46,0,1.0,3500.0,6,0,0,0,2.0,0
55100,2.0,46,0,2.0,5874.0,9,0,3,0,0.0,0
28918,0.0,85,0,1.0,3500.0,13,1,1,0,0.0,0
100655,1.0,40,1,2.0,12405.0,12,0,1,0,1.0,0
9741,1.0,61,0,2.0,6705.0,10,0,2,0,0.0,0
110581,0.0,33,0,2.0,4712.0,9,0,1,0,2.0,0
146114,0.0,43,0,1.0,2080.0,7,0,0,0,0.0,0
83160,0.0,72,0,1.0,4300.0,17,0,1,0,0.0,0
105578,0.0,58,0,1.0,5198.0,18,0,1,0,2.0,0
136822,1.0,53,0,2.0,6000.0,8,0,2,0,1.0,0
118284,0.0,22,0,0.0,820.0,2,0,0,0,0.0,0
116912,0.0,47,0,1.0,6700.0,9,0,1,0,3.0,0
59554,1.0,54,1,1.0,10500.0,5,0,2,0,2.0,0
142184,1.0,50,0,3.0,750.0,9,1,2,0,0.0,0
37411,1.0,30,1,1.0,3000.0,6,0,0,1,0.0,0
141544,1.0,46,1,2.0,6012.0,11,0,1,1,1.0,0
41314,0.0,53,0,1.0,10166.0,8,0,1,0,0.0,0
30300,0.0,34,0,0.0,2770.0,6,0,0,0,0.0,0
48404,2.0,63,0,3.0,700.0,15,0,0,0,0.0,0
75658,1.0,26,1,1.0,2333.0,7,0,0,0,0.0,0
143928,1.0,32,0,1.0,5400.0,6,0,0,1,0.0,0
74025,0.0,58,0,1.0,15000.0,4,0,1,0,0.0,0
135064,1.0,38,1,2.0,6900.0,16,0,1,0,2.0,0
118867,2.0,40,0,1.0,5416.0,7,1,0,0,0.0,0
54097,0.0,67,1,1.0,1600.0,2,0,0,0,1.0,1
100526,2.0,42,0,2.0,2498.0,10,0,1,0,2.0,0
141532,0.0,61,0,1.0,6056.0,8,0,1,0,0.0,0
87301,2.0,40,0,0.0,1880.0,1,1,0,0,0.0,0
128319,2.0,64,0,2.0,7405.0,14,0,2,0,0.0,0
33148,0.0,41,0,0.0,4166.0,8,0,0,0,1.0,0
19963,1.0,47,1,2.0,7080.0,11,0,1,0,1.0,0
113924,0.0,33,0,2.0,11372.0,12,0,6,0,0.0,1
3910,0.0,49,0,1.0,7350.0,7,1,1,0,3.0,0
63948,0.0,63,0,0.0,8518.0,10,0,0,0,0.0,0
124377,0.0,77,0,0.0,2500.0,4,0,0,0,0.0,0
84175,2.0,28,0,0.0,5600.0,2,0,0,0,0.0,0
59613,0.0,51,0,2.0,1328.0,5,0,0,0,0.0,0
39160,3.0,36,0,2.0,5341.0,7,0,1,0,4.0,0
64656,0.0,69,1,1.0,10300.0,19,0,1,0,0.0,0
100891,2.0,45,1,1.0,2600.0,1,0,0,0,0.0,0
119539,2.0,25,0,0.0,3610.0,2,0,0,0,0.0,0
131102,1.0,42,0,1.0,5436.0,4,1,0,1,4.0,0
77264,2.0,39,0,1.0,4525.0,6,0,0,0,0.0,0
15003,2.0,71,0,3.0,755.0,3,0,2,0,0.0,0
29139,3.0,32,0,2.0,6000.0,8,0,1,0,2.0,0
126350,1.0,65,0,0.0,4431.0,4,0,0,0,0.0,0
37310,0.0,42,1,2.0,6000.0,9,0,2,0,1.0,0
78382,1.0,50,0,1.0,4760.0,5,0,0,0,0.0,0
83920,1.0,54,1,2.0,4000.0,14,0,3,1,0.0,0
49173,0.0,54,0,1.0,8335.0,13,0,0,0,0.0,0
111292,0.0,47,0,1.0,5130.0,15,0,1,0,0.0,0
1057,0.0,48,0,0.0,6200.0,2,0,0,0,1.0,0
20262,0.0,71,0,1.0,7925.0,19,0,1,0,1.0,0
55242,1.0,40,0,2.0,4697.0,6,0,1,0,1.0,0
146914,1.0,28,0,1.0,3250.0,8,0,0,0,0.0,0
72122,1.0,33,0,1.0,4358.0,9,0,0,0,0.0,0
84120,1.0,69,1,1.0,5703.0,6,0,0,0,1.0,1
90078,0.0,68,0,1.0,3417.0,12,0,1,0,0.0,0
61437,0.0,57,0,1.0,1084.0,5,0,0,0,0.0,0
29764,0.0,77,0,1.0,10500.0,21,0,1,0,0.0,0
120994,0.0,63,0,3.0,917.0,7,0,1,0,0.0,0
124187,0.0,61,1,2.0,17250.0,9,0,2,0,1.0,0
112488,0.0,36,0,3.0,4000.0,14,0,5,0,0.0,0
145685,1.0,73,0,3.0,1130.0,11,0,3,0,0.0,0
33146,1.0,47,1,2.0,11666.0,8,0,2,0,3.0,0
30369,1.0,51,0,2.0,7732.0,8,0,2,0,1.0,0
21234,0.0,69,0,1.0,11667.0,8,0,1,0,0.0,0
81122,1.0,62,0,2.0,7950.0,10,0,2,0,0.0,0
122983,0.0,46,0,1.0,7000.0,8,0,0,0,3.0,0
42660,1.0,64,0,1.0,6583.0,16,0,0,0,0.0,0
42917,0.0,30,0,1.0,5000.0,5,0,0,0,0.0,0
19303,0.0,69,0,0.0,3541.0,4,0,0,0,1.0,0
4446,1.0,39,0,2.0,3583.0,8,0,0,0,1.0,0
17853,0.0,60,0,0.0,3179.0,4,0,0,0,0.0,0
86441,1.0,72,0,0.0,2200.0,4,0,0,0,0.0,0
52817,2.0,38,0,1.0,4500.0,4,0,0,0,2.0,0
18669,0.0,46,0,0.0,10166.0,10,0,1,0,1.0,0
75951,0.0,61,0,1.0,7585.0,11,0,2,0,0.0,0
27355,0.0,28,1,0.0,7500.0,12,0,0,0,3.0,0
71297,0.0,46,1,2.0,8875.0,9,0,2,0,4.0,0
122314,3.0,41,0,2.0,2500.0,10,0,1,0,0.0,1
128312,0.0,65,0,1.0,2600.0,6,0,0,0,0.0,0
