year,severity_index,casualties,economic_loss,response_hours,aid_amount,response_score,recovery_days,casualties_log,economic_loss_log,aid_amount_log,recovery_days_log,response_hours_log,country_Australia,country_Bangladesh,country_Brazil,country_Canada,country_Chile,country_China,country_Congo,country_France,country_Germany,country_Greece,country_India,country_Indonesia,country_Ireland,country_Italy,country_Japan,country_Mexico,country_New Zealand,country_Nigeria,country_Peru,country_Philippines,country_South Africa,country_Spain,country_Turkey,country_United States,disaster_type_Cyclone,disaster_type_Drought,disaster_type_Earthquake,disaster_type_Extreme Cold,disaster_type_Extreme Heat,disaster_type_Flood,disaster_type_Landslide,disaster_type_Storm Surge,disaster_type_Tornado,disaster_type_Tsunami,disaster_type_Volcanic Eruption,disaster_type_Wildfire
2022,1.6,2,13699.2,1.0,8106.0,100.0,10.0,1.0986122886681098,9.525165710249805,9.000483164987708,2.3978952727983707,0.6931471805599453,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2013,0.6,7,1035.0,11.0,348.0,78.05,120.0,2.0794415416798357,6.943122422819428,5.855071922202427,4.795790545596741,2.4849066497880004,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2008,0.2,1,1008.0,7.0,305.0,87.8,134.0,0.6931471805599453,6.9167150203536085,5.723585101952381,4.90527477843843,2.0794415416798357,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2013,0.1,2,1072.4,16.0,524.0,65.85,58.0,1.0986122886681098,6.978586459742728,6.263398262591624,4.07753744390572,2.833213344056216,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2016,0.6,11,735.6,11.0,503.0,58.54,81.0,2.4849066497880004,6.602045004010965,6.222576268071369,4.406719247264253,2.4849066497880004,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2018,1.6,11,12817.6,7.0,4887.0,87.8,111.0,2.4849066497880004,9.458652520143255,8.494538500851432,4.718498871295094,2.0794415416798357,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2016,0.4,4,131781.0,11.0,92014.0,78.05,922.0,1.6094379124341003,11.788904321162478,11.429706886219295,6.827629234502852,2.4849066497880004,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2017,0.5,8,129531.0,15.0,7114.0,68.29,484.0,2.1972245773362196,11.771683233843607,8.869960510523953,6.184148890937483,2.772588722239781,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2007,0.6,5,9178.2,9.0,826.0,82.93,78.0,1.791759469228055,9.124695333847606,6.717804695023691,4.3694478524670215,2.302585092994046,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2024,0.7,3,13913.9,4.0,9602.0,95.12,92.0,1.3862943611198906,9.540715487444768,9.169830828637973,4.532599493153256,1.6094379124341003,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2008,0.3,7,13705.5,22.0,5006.0,51.22,70.0,2.0794415416798357,9.525625451853935,8.518592212329946,4.2626798770413155,3.1354942159291497,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2021,0.1,0,1104.6,2.0,397.0,100.0,14.0,0.0,7.008143453013405,5.986452005284438,2.70805020110221,1.0986122886681098,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2023,0.9,11,13008.6,12.0,7725.0,75.61,11.0,2.4849066497880004,9.473442825453573,8.952346543226227,2.4849066497880004,2.5649493574615367,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
2021,1.0,18,110315.0,18.0,5429.0,60.98,180.0,2.9444389791664403,11.611104253651755,8.599694412927981,5.198497031265826,2.9444389791664403,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2014,0.4,5,10961.2,13.0,8265.0,73.17,286.0,1.791759469228055,9.302208270285458,9.019905995071678,5.659482215759621,2.6390573296152584,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2014,1.4,4,13617.8,3.0,5439.0,97.56,103.0,1.6094379124341003,9.519206470095094,8.601534339849989,4.6443908991413725,1.3862943611198906,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1998,0.6,13,17332.8,22.0,6283.0,51.22,129.0,2.6390573296152584,9.760413631609959,8.745761999375512,4.867534450455582,3.1354942159291497,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2017,2.0,6,12950.0,3.0,3607.0,97.56,22.0,1.9459101490553132,9.468928284223587,8.190908881182514,3.1354942159291497,1.3862943611198906,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2018,1.3,31,14634.1,24.0,2005.0,46.34,163.0,3.4657359027997265,9.591178032037387,7.603897968521881,5.099866427824199,3.2188758248682006,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2023,0.1,0,890.5,3.0,482.0,97.56,16.0,0.0,6.792905437303195,6.180016653652572,2.833213344056216,1.3862943611198906,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2021,0.3,4,12447.9,14.0,3138.0,70.73,148.0,1.6094379124341003,9.429387544575807,8.051659556841953,5.003946305945459,2.70805020110221,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2007,0.1,2,15612.91,15.0,7820.0,68.29,40.0,1.0986122886681098,9.655917462605727,8.964567702601611,3.713572066704308,2.772588722239781,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2010,2.2,4,12513.6,2.0,9821.0,100.0,22.0,1.6094379124341003,9.434651241709066,9.19238004659919,3.1354942159291497,1.0986122886681098,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2007,0.2,2,1236.0,9.0,524.0,82.93,59.0,1.0986122886681098,7.1204443723924875,6.263398262591624,4.0943445622221,2.302585092994046,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2020,0.2,3,16275.2,13.0,5410.0,73.17,59.0,1.3862943611198906,9.69745919707754,8.596189197642735,4.0943445622221,2.6390573296152584,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2006,0.9,17,9798.3,19.0,4327.0,58.54,168.0,2.8903717578961645,9.190066233536093,8.372860820526318,5.1298987149230735,2.995732273553991,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2022,0.3,2,1320.4,8.0,719.0,85.37,61.0,1.0986122886681098,7.1864470595957854,6.579251212010101,4.127134385045092,2.1972245773362196,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2017,1.6,22,14548.8,14.0,6119.0,70.73,93.0,3.1354942159291497,9.585332526800698,8.719317375506371,4.543294782270004,2.70805020110221,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2021,2.5,43,18092.5,17.0,6686.0,63.41,29.0,3.784189633918261,9.803308036734217,8.80792062205398,3.4011973816621555,2.8903717578961645,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2023,0.8,18,1257.6,22.0,325.0,51.22,53.0,2.9444389791664403,7.137755271092833,5.786897381366708,3.9889840465642745,3.1354942159291497,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2004,0.4,2,1104.0,4.0,338.0,95.12,8.0,1.0986122886681098,7.007600613951853,5.82600010738045,2.1972245773362196,1.6094379124341003,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2004,0.1,1,1362.4,11.0,270.0,78.05,157.0,0.6931471805599453,7.217736858928685,5.602118820879701,5.062595033026967,2.4849066497880004,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2011,0.9,37,1397.7,41.0,454.0,4.88,55.0,3.6375861597263857,7.243298512785258,6.12029741895095,4.02535169073515,3.7376696182833684,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2019,0.1,0,1223.8,2.0,308.0,100.0,139.0,0.0,7.110532844343474,5.733341276897746,4.941642422609304,1.0986122886681098,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2007,0.4,8,16654.0,21.0,4563.0,53.66,136.0,2.1972245773362196,9.72046575062778,8.425954710981966,4.919980925828125,3.091042453358316,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2011,0.4,8,18636.8,21.0,7358.0,53.66,172.0,2.1972245773362196,9.832947055522922,8.903679332926599,5.153291594497779,3.091042453358316,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2024,0.6,8,15583.2,14.0,4874.0,70.73,117.0,2.1972245773362196,9.65401285947553,8.491875383431948,4.770684624465665,2.70805020110221,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2018,2.2,18,19177.4,8.0,6908.0,85.37,161.0,2.9444389791664403,9.861539924728362,8.840580188488795,5.087596335232384,2.1972245773362196,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2022,3.5,42,20093.5,12.0,3236.0,75.61,136.0,3.7612001156935624,9.908201424762348,8.082402253926244,4.919980925828125,2.5649493574615367,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2008,0.4,28,1182.0,70.0,600.0,0.0,106.0,3.367295829986474,7.075808863978387,6.398594934535208,4.672828834461906,4.2626798770413155,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2011,1.8,45,19846.8,25.0,7493.0,43.9,253.0,3.828641396489095,9.895848448738844,8.921857979353632,5.537334267018537,3.258096538021482,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2017,0.4,4,19959.2,9.0,7818.0,82.93,98.0,1.6094379124341003,9.901495569855335,8.964311948124514,4.59511985013459,2.302585092994046,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2018,1.1,15,21146.4,14.0,8201.0,70.73,66.0,2.772588722239781,9.959272245475654,9.012133305952004,4.204692619390966,2.70805020110221,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2003,0.1,2,16275.9,22.0,7126.0,51.22,113.0,1.0986122886681098,9.697502203734363,8.871645667501872,4.736198448394496,3.1354942159291497,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2013,0.4,2,1441.0,5.0,657.0,92.68,84.0,1.0986122886681098,7.273786317844895,6.489204931325317,4.442651256490317,1.791759469228055,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
2010,0.9,11,11112.3,12.0,3934.0,75.61,24.0,2.4849066497880004,9.315897868232057,8.277666160851503,3.2188758248682006,2.5649493574615367,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2022,0.1,1,13327.2,6.0,5463.0,90.24,102.0,0.6931471805599453,9.497637370296436,8.605936401250625,4.634728988229636,1.9459101490553132,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2009,1.5,20,20268.0,13.0,8131.0,73.17,127.0,3.044522437723423,9.916847904237965,9.003562174748238,4.852030263919617,2.6390573296152584,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2018,1.3,16,19808.0,12.0,6051.0,75.61,175.0,2.833213344056216,9.893891658862682,8.708144074908246,5.170483995038151,2.5649493574615367,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2014,0.1,0,14843.2,2.0,6028.0,100.0,95.0,0.0,9.605364495547011,8.704336438489406,4.564348191467836,1.0986122886681098,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2019,0.4,4,19590.8,11.0,5871.0,78.05,179.0,1.6094379124341003,9.882866390331635,8.677950570294351,5.19295685089021,2.4849066497880004,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2017,1.2,35,21370.8,29.0,4600.0,34.15,58.0,3.58351893845611,9.96982757499532,8.434028950155469,4.07753744390572,3.4011973816621555,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2019,0.6,9,18756.6,15.0,3958.0,68.29,45.0,2.302585092994046,9.839354282606527,8.28374674710613,3.828641396489095,2.772588722239781,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2022,1.5,14,13947.0,9.0,9280.0,82.93,136.0,2.70805020110221,9.543091407795542,9.135724578595394,4.919980925828125,2.302585092994046,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1999,0.1,1,20269.0,10.0,7791.0,80.49,129.0,0.6931471805599453,9.916897239446046,8.960852845322371,4.867534450455582,2.3978952727983707,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
2005,0.3,3,18509.8,10.0,2435.0,80.49,174.0,1.3862943611198906,9.826109624514736,7.798112628829788,5.1647859739235145,2.3978952727983707,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2022,0.3,1,10708.2,2.0,8954.0,100.0,164.0,0.6931471805599453,9.278858464106584,9.099967314494812,5.10594547390058,1.0986122886681098,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2024,1.0,20,16112.0,20.0,9776.0,56.1,129.0,3.044522437723423,9.68738167857357,9.18778796750567,4.867534450455582,3.044522437723423,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2010,2.8,8,13060.0,3.0,2342.0,97.56,33.0,2.1972245773362196,9.47738596957752,7.759187438507795,3.5263605246161616,1.3862943611198906,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
2016,2.0,20,16132.0,10.0,2070.0,80.49,151.0,3.044522437723423,9.688622142666144,7.635786861395585,5.0238805208462765,2.3978952727983707,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2023,0.7,8,9383.5,12.0,5718.0,75.61,13.0,2.1972245773362196,9.146814671096305,8.651549243915316,2.6390573296152584,2.5649493574615367,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2019,3.5,11,22802.5,3.0,6427.0,97.56,9.0,2.4849066497880004,10.034669311933197,8.768418726857403,2.302585092994046,1.3862943611198906,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2005,0.5,4,1372.5,7.0,651.0,87.8,68.0,1.6094379124341003,7.225117505535328,6.480044561926653,4.23410650459726,2.0794415416798357,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2009,0.8,46,20498.4,57.0,8364.0,0.0,53.0,3.8501476017100584,9.928150896405493,9.031811613420924,3.9889840465642745,4.060443010546419,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2015,0.2,3,21208.0,16.0,7366.0,65.85,173.0,1.3862943611198906,9.962180898875346,8.904765846682814,5.159055299214529,2.833213344056216,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1999,5.2,806,18834.4,155.0,3038.0,0.0,123.0,6.693323668269949,9.843493356959305,8.019283792916793,4.820281565605037,5.049856007249537,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2021,3.1,3,21724.8,1.0,6451.0,100.0,19.0,1.3862943611198906,9.986255773391166,8.772145439245099,2.995732273553991,0.6931471805599453,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2014,0.3,2,1460.0,6.0,621.0,90.24,121.0,1.0986122886681098,7.2868764117507,6.432940092739179,4.804021044733257,1.9459101490553132,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2024,0.6,13,892.8,21.0,743.0,53.66,58.0,2.6390573296152584,6.795482036499351,6.612041034833092,4.07753744390572,3.091042453358316,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2013,1.0,9,21660.0,9.0,5095.0,82.93,173.0,2.302585092994046,9.983268687540978,8.536211197252,5.159055299214529,2.302585092994046,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2019,0.4,5,900.8,12.0,517.0,75.61,110.0,1.791759469228055,6.804392765986984,6.249975242259483,4.709530201312334,2.5649493574615367,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2022,3.8,91,22416.2,24.0,8272.0,46.34,152.0,4.5217885770490405,10.017583800334517,9.020752479190183,5.030437921392435,3.2188758248682006,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2020,0.2,1,17171.2,4.0,8998.0,95.12,40.0,0.6931471805599453,9.75104707614362,9.104868739033948,3.713572066704308,1.6094379124341003,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2023,0.8,12,14253.0,15.0,2399.0,68.29,139.0,2.5649493574615367,9.564792848061815,7.783224016336037,4.941642422609304,2.772588722239781,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1998,0.9,26,23160.6,29.0,4047.0,34.15,9.0,3.295836866004329,10.050251013929369,8.305978210967302,2.302585092994046,3.4011973816621555,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
