year,country,disaster_type,severity_index,casualties,economic_loss,response_hours,aid_amount,response_score,recovery_days
2014,Indonesia,Landslide,0.3,2,1460.0,6.0,621.0,90.24,121.0
2024,India,Cyclone,0.6,13,892.8,21.0,743.0,53.66,58.0
2013,Philippines,Volcanic Eruption,1.0,9,21660.0,9.0,5095.0,82.93,173.0
2019,China,Landslide,0.4,5,900.8,12.0,517.0,75.61,110.0
2022,China,Volcanic Eruption,3.8,91,22416.2,24.0,8272.0,46.34,152.0
2020,Indonesia,Extreme Heat,0.2,1,17171.2,4.0,8998.0,95.12,40.0
2023,Indonesia,Storm Surge,0.8,12,14253.0,15.0,2399.0,68.29,139.0
1998,Philippines,Extreme Heat,0.9,26,23160.6,29.0,4047.0,34.15,9.0
2013,Philippines,Extreme Heat,1.9,8,19039.9,4.0,6294.0,95.12,40.0
2008,India,Drought,0.7,8,23367.0,12.0,3283.0,75.61,160.0
2013,India,Extreme Heat,0.3,7,12291.9,22.0,2925.0,51.22,30.0
2005,India,Cyclone,0.9,21,20189.7,23.0,5017.0,48.78,37.0
2012,India,Extreme Heat,1.2,10,25335.6,8.0,3470.0,85.37,49.0
2012,Bangladesh,Landslide,1.5,92,13933.5,61.0,2695.0,0.0,114.0
2003,Turkey,Wildfire,0.1,1,644.3,10.0,622.0,80.49,142.0
2021,China,Volcanic Eruption,1.7,10,1613.0,6.0,707.0,90.24,44.0
2001,Bangladesh,Cyclone,0.8,70,14808.8,87.0,6316.0,0.0,10.0
2013,India,Drought,2.1,32,21622.0,15.0,8606.0,68.29,110.0
2001,Japan,Tsunami,1.4,34,26017.6,24.0,5359.0,46.34,29.0
2013,Indonesia,Storm Surge,0.1,0,12164.0,3.0,7959.0,97.56,157.0
2016,Philippines,Cyclone,1.4,24,1932.0,17.0,632.0,63.41,57.0
2023,Bangladesh,Extreme Heat,0.4,11,22810.0,28.0,9440.0,36.59,14.0
2007,Philippines,Cyclone,2.3,21,26364.9,9.0,4997.0,82.93,40.0
2019,Bangladesh,Landslide,0.3,11,1265.0,35.0,474.0,19.51,126.0
2023,Japan,Extreme Cold,0.9,5,15305.4,5.0,4618.0,92.68,26.0
2009,Japan,Flood,0.4,4,1648.8,11.0,619.0,78.05,7.0
2022,China,Extreme Heat,1.6,3,21444.8,2.0,2572.0,100.0,94.0
2022,India,Storm Surge,0.6,9,26322.0,15.0,4102.0,68.29,162.0
2014,Japan,Cyclone,0.9,9,15835.5,10.0,6067.0,80.49,12.0
2024,Turkey,Drought,0.1,1,1459.8,10.0,532.0,80.49,162.0
2013,Indonesia,Landslide,0.8,14,21409.6,17.0,6951.0,63.41,133.0
2024,Bangladesh,Landslide,1.5,30,13330.0,20.0,6032.0,56.1,106.0
2005,China,Tornado,0.4,4,12170.8,10.0,9620.0,80.49,57.0
2022,Philippines,Landslide,0.8,2,21512.8,3.0,5521.0,97.56,119.0
2009,Bangladesh,Landslide,2.0,34,12626.0,17.0,9061.0,63.41,138.0
2012,Indonesia,Tsunami,1.5,29,23199.0,19.0,5893.0,58.54,894.0
2005,Philippines,Extreme Heat,0.5,5,1075.0,9.0,237.0,82.93,67.0
2016,Philippines,Landslide,0.4,1,21901.2,3.0,8768.0,97.56,167.0
2021,Indonesia,Extreme Heat,0.8,4,25764.0,5.0,9655.0,92.68,32.0
2002,India,Cyclone,0.6,7,12763.2,12.0,5773.0,75.61,37.0
2000,India,Extreme Heat,0.3,5,9003.0,16.0,2181.0,65.85,43.0
2013,Philippines,Cyclone,1.7,27,25515.3,16.0,5322.0,65.85,69.0
2019,China,Volcanic Eruption,0.9,6,26078.4,7.0,3836.0,87.8,103.0
2024,Philippines,Landslide,0.1,0,1646.0,2.0,343.0,100.0,171.0
2005,Japan,Extreme Cold,2.9,6,20793.0,2.0,7672.0,100.0,30.0
2004,Philippines,Volcanic Eruption,2.4,31,1871.0,13.0,517.0,73.17,141.0
2004,Turkey,Flood,1.2,11,24372.0,9.0,9193.0,82.93,165.0
2010,Philippines,Volcanic Eruption,0.9,6,28249.2,7.0,8152.0,87.8,92.0
2008,Indonesia,Storm Surge,0.2,3,1654.2,16.0,731.0,65.85,98.0
2013,China,Cyclone,3.5,56,26649.0,16.0,4821.0,65.85,67.0
2019,Philippines,Cyclone,0.2,6,2058.2,30.0,321.0,31.71,48.0
2014,China,Cyclone,1.1,8,20666.8,7.0,4637.0,87.8,60.0
2008,Indonesia,Landslide,0.3,5,950.1,18.0,292.0,60.98,114.0
2001,China,Cyclone,4.4,106,26809.2,24.0,9258.0,46.34,57.0
2024,India,Drought,1.0,8,27583.0,8.0,6934.0,85.37,127.0
2024,Japan,Volcanic Eruption,1.0,5,22960.0,5.0,4627.0,92.68,25.0
2007,Bangladesh,Flood,0.4,13,26400.0,32.0,8029.0,26.83,151.0
2015,India,Extreme Heat,1.8,32,29779.2,18.0,9054.0,60.98,36.0
2023,India,Cyclone,1.2,26,19136.4,22.0,3817.0,51.22,27.0
1996,China,Drought,2.8,92,20467.0,33.0,5857.0,24.39,59.0
2019,India,Wildfire,0.5,1,10212.5,1.0,2733.0,100.0,161.0
1995,India,Wildfire,0.9,47,22556.7,52.0,3743.0,0.0,150.0
2013,Bangladesh,Extreme Heat,0.1,5,1428.3,52.0,603.0,0.0,57.0
2015,Philippines,Landslide,1.5,18,18784.5,12.0,5492.0,75.61,137.0
2024,Indonesia,Landslide,0.6,2,24693.0,3.0,9690.0,97.56,170.0
2014,Philippines,Landslide,0.7,6,15271.2,8.0,6212.0,85.37,119.0
2010,Philippines,Landslide,0.2,1,1921.2,4.0,678.0,95.12,138.0
2006,Turkey,Wildfire,1.1,7,29936.5,6.0,2870.0,90.24,138.0
2015,Indonesia,Landslide,0.1,1,1457.9,12.0,596.0,75.61,137.0
2020,India,Drought,0.8,2,1096.0,3.0,286.0,97.56,104.0
2003,Turkey,Wildfire,1.2,6,28826.4,5.0,7462.0,92.68,72.0
1992,Indonesia,Tsunami,1.6,94,2248.0,59.0,506.0,0.0,504.0
2015,Indonesia,Landslide,1.2,20,28388.4,17.0,6317.0,63.41,173.0
2019,Indonesia,Extreme Heat,1.5,27,25228.5,18.0,9150.0,60.98,48.0
2006,China,Volcanic Eruption,1.5,20,29518.5,13.0,6423.0,73.17,177.0
2010,Bangladesh,Tornado,0.5,24,1618.0,47.0,253.0,0.0,108.0
2003,China,Extreme Heat,3.8,57,28500.0,15.0,4592.0,68.29,35.0
2014,Indonesia,Tsunami,0.5,9,28056.0,17.0,5514.0,63.41,272.0
2010,Bangladesh,Tornado,0.6,28,28692.0,46.0,5131.0,0.0,112.0
2020,Turkey,Storm Surge,0.9,11,31518.0,12.0,2181.0,75.61,141.0
2023,Turkey,Extreme Cold,2.1,23,21531.3,11.0,5047.0,78.05,72.0
2010,Indonesia,Tsunami,1.2,24,19327.2,20.0,7915.0,56.1,749.0
2023,Philippines,Cyclone,0.8,7,22771.2,9.0,5651.0,82.93,51.0
2019,China,Extreme Heat,0.3,2,1557.0,5.0,603.0,92.68,64.0
1998,India,Wildfire,1.6,42,26124.8,26.0,7643.0,41.46,170.0
2005,Turkey,Extreme Cold,0.4,7,23039.2,17.0,5437.0,63.41,57.0
2010,China,Volcanic Eruption,2.4,53,31363.0,22.0,2069.0,51.22,22.0
2018,Turkey,Flood,2.9,35,326074.0,12.0,100544.88,75.61,117.0
2004,Bangladesh,Landslide,3.2,221,107497.6,69.0,33145.2,0.0,95.0
2016,Turkey,Earthquake,2.1,2,364761.0,1.0,112446.3,100.0,97.0
2016,Japan,Extreme Cold,1.5,2,33276.0,1.0,10255.79,100.0,22.0
1997,Philippines,Landslide,3.0,21,116187.0,7.0,35801.96,87.8,149.0
2001,Bangladesh,Flood,2.7,392,357982.0,145.0,110302.1,0.0,156.0
2022,Bangladesh,Extreme Heat,3.5,105,44590.0,30.0,13738.94,31.71,50.0
2021,India,Flood,5.7,103,1404964.5,18.0,432836.29,60.98,141.0
2020,Bangladesh,Flood,1.5,62,257146.0,41.0,79213.16,4.88,159.0
1995,Nigeria,Flood,2.1,86,150000.0,41.0,46200.0,4.88,800.0
2000,Nigeria,Drought,1.2,65,1290000.0,54.0,397320.0,0.0,317.0
2005,Indonesia,Volcanic Eruption,1.1,8,54407.1,7.0,16756.03,87.8,165.0
2023,India,Drought,0.7,1,19970.0,2.0,3237.0,100.0,164.0
2016,Indonesia,Landslide,3.8,38,104781.2,10.0,32265.69,80.49,101.0
2000,Japan,Earthquake,1.3,26,1154445.0,20.0,355488.62,56.1,20.0
2003,China,Storm Surge,2.2,18,528378.4,8.0,162703.13,85.37,33.0
2001,Philippines,Volcanic Eruption,1.1,18,71348.2,16.0,21944.41,65.85,137.0
2010,China,Extreme Heat,3.3,33,145589.4,10.0,44778.33,80.49,38.0
2017,Philippines,Flood,2.3,37,313356.6,16.0,96354.57,65.85,97.0
2007,India,Landslide,0.4,6,28384.4,16.0,8722.97,65.85,139.0
1998,Philippines,Extreme Heat,3.4,24,167103.2,7.0,51348.99,87.8,34.0
2020,Philippines,Landslide,3.3,20,145906.2,6.0,44828.61,90.24,166.0
2022,Indonesia,Tsunami,6.9,124,490100.1,18.0,150571.1,60.98,773.0
2019,China,Volcanic Eruption,1.0,3,20501.0,3.0,4346.0,97.56,68.0
2011,Japan,Volcanic Eruption,0.4,4,6747.6,9.0,2072.84,82.93,23.0
1993,Philippines,Earthquake,0.4,15,333316.0,37.0,102386.34,14.63,159.0
2006,Japan,Flood,2.2,40,41034.4,18.0,12602.94,60.98,21.0
2018,Indonesia,Flood,3.1,16,636612.0,5.0,195519.12,92.68,91.0
2021,China,Extreme Heat,0.7,15,60685.1,21.0,18637.87,53.66,28.0
2005,India,Storm Surge,6.2,50,1679294.8,8.0,515655.11,85.37,151.0
2016,Philippines,Cyclone,6.7,94,257206.3,14.0,78971.9,70.73,72.0
2021,Philippines,Flood,0.7,13,103089.7,19.0,31650.95,58.54,148.0
2013,China,Volcanic Eruption,3.1,31,202966.0,10.0,62297.35,80.49,20.0
2007,Turkey,Earthquake,0.9,5,940689.0,5.0,288663.97,92.68,111.0
2007,Bangladesh,Storm Surge,5.1,326,541099.8,64.0,166044.11,0.0,137.0
2004,India,Earthquake,2.6,49,2872188.0,19.0,881294.63,58.54,954.0
2012,India,Landslide,1.7,22,140474.4,13.0,43089.68,73.17,126.0
2021,India,Storm Surge,5.2,94,748921.0,18.0,229710.21,60.98,174.0
2009,Indonesia,Earthquake,2.2,26,2003635.0,12.0,614502.56,75.61,759.0
2016,China,Volcanic Eruption,2.4,14,58269.6,6.0,17867.94,90.24,77.0
2017,Turkey,Earthquake,4.6,23,1102472.8,5.0,338020.6,92.68,43.0
2020,Indonesia,Flood,1.5,11,296372.0,7.0,90865.34,87.8,178.0
2018,Bangladesh,Extreme Heat,0.4,12,33629.0,29.0,10309.25,34.15,73.0
2000,Philippines,Extreme Heat,1.3,14,42972.8,11.0,13172.71,78.05,42.0
2007,China,Extreme Heat,1.3,16,77049.7,12.0,23613.42,75.61,45.0
2022,China,Volcanic Eruption,3.3,36,131019.9,11.0,40153.25,78.05,123.0
1997,Philippines,Earthquake,1.0,21,295090.0,21.0,90405.57,53.66,936.0
2011,India,Earthquake,0.7,15,631507.0,21.0,193383.81,53.66,797.0
2006,Turkey,Extreme Cold,0.6,10,26306.0,17.0,8055.43,63.41,61.0
2015,Japan,Flood,1.8,14,29823.0,8.0,9131.4,85.37,19.0
2005,China,Landslide,5.0,155,141395.0,31.0,43286.18,29.27,26.0
2023,China,Cyclone,2.5,25,2800.0,10.0,857.0,80.49,84.0
1990,Congo,Flood,5.1,367,190000.0,72.0,58140.0,0.0,820.0
1993,South Africa,Wildfire,1.8,22,2850000.0,12.0,872100.0,75.61,342.0
1999,Congo,Volcanic Eruption,5.4,227,310000.0,42.0,94860.0,2.44,634.0
2001,South Africa,Drought,4.1,49,390000.0,12.0,119340.0,75.61,290.0
2001,South Africa,Flood,6.9,41,240000.0,6.0,73440.0,90.24,390.0
2001,South Africa,Wildfire,0.1,2,1300000.0,19.0,397800.0,58.54,218.0
2001,South Africa,Wildfire,4.3,65,2200000.0,15.0,673200.0,68.29,293.0
2018,India,Extreme Heat,1.7,7,60418.0,4.0,18480.53,95.12,83.0
2002,India,Landslide,6.0,210,363258.0,35.0,111111.74,19.51,177.0
2018,India,Flood,2.3,2,841312.4,1.0,257271.5,100.0,159.0
2007,India,Extreme Heat,2.8,36,142819.0,13.0,43669.07,73.17,48.0
2012,Philippines,Storm Surge,0.1,1,14840.2,13.0,4536.21,73.17,176.0
2006,India,Extreme Heat,0.2,4,9276.6,20.0,2835.55,56.1,46.0
2003,China,Landslide,2.4,41,53812.8,17.0,16445.16,63.41,145.0
2006,Indonesia,Volcanic Eruption,7.9,55,350003.0,7.0,106948.01,87.8,156.0
1994,Japan,Storm Surge,0.3,4,25138.5,12.0,7676.68,75.61,25.0
2020,Japan,Landslide,0.3,2,4183.2,6.0,1277.27,90.24,16.0
2010,Indonesia,Tsunami,7.8,78,280753.2,10.0,85710.68,80.49,978.0
1998,Indonesia,Storm Surge,0.2,5,30870.6,25.0,9423.7,43.9,173.0
2010,Indonesia,Tsunami,0.5,6,27666.5,12.0,8445.31,75.61,431.0
1998,India,Extreme Heat,0.7,8,58014.6,11.0,17706.59,78.05,24.0
2016,India,Landslide,4.2,59,207891.6,14.0,63426.69,70.73,124.0
2017,Bangladesh,Flood,4.3,60,1112679.0,14.0,339424.28,70.73,134.0
2018,Turkey,Earthquake,5.4,65,4117181.0,12.0,1255851.63,75.61,289.0
1991,Nigeria,Storm Surge,1.9,61,60000.0,32.0,18300.0,26.83,304.0
1993,South Africa,Drought,0.4,5,480000.0,12.0,146400.0,75.61,189.0
1994,South Africa,Drought,1.0,20,390000.0,20.0,118950.0,56.1,334.0
2001,South Africa,Drought,4.1,41,330000.0,10.0,100650.0,80.49,220.0
2024,China,Tsunami,2.3,12,167647.0,5.0,51127.53,92.68,208.0
2014,Bangladesh,Storm Surge,5.6,297,1084980.0,53.0,330775.69,0.0,99.0
1995,China,Earthquake,1.2,67,1808542.0,56.0,551336.72,0.0,21.0
1998,Philippines,Cyclone,1.9,53,108583.1,28.0,33081.44,36.59,8.0
2020,Bangladesh,Storm Surge,2.9,17,372088.0,6.0,113307.66,90.24,177.0
2020,India,Landslide,0.5,9,25019.5,17.0,7616.91,63.41,173.0
2024,Indonesia,Landslide,4.0,36,261052.0,9.0,79470.03,82.93,99.0
2023,Philippines,Flood,1.5,5,208230.0,3.0,63374.4,97.56,99.0
2011,Philippines,Tsunami,2.6,5,14446237.0,2.0,4396327.56,100.0,146.0
2012,China,Cyclone,0.4,9,338425.0,22.0,102963.08,51.22,46.0
2016,Philippines,Earthquake,0.2,1,78628.0,3.0,23916.58,97.56,790.0
2007,India,Drought,1.3,25,406237.0,19.0,123533.19,58.54,169.0
2004,Bangladesh,Flood,1.0,20,224614.0,20.0,68301.87,56.1,153.0
2021,Turkey,Flood,0.9,1,209420.1,1.0,63677.49,100.0,95.0
1995,Bangladesh,Extreme Heat,3.1,90,173004.8,29.0,52597.01,34.15,30.0
1998,Bangladesh,Landslide,5.3,737,272594.9,139.0,82871.31,0.0,178.0
1990,South Africa,Drought,0.2,4,50000.0,22.0,15200.0,51.22,242.0
1996,South Africa,Flood,1.8,36,470000.0,20.0,142880.0,56.1,277.0
2000,Nigeria,Flood,5.1,296,470000.0,58.0,142880.0,0.0,517.0
2022,Turkey,Earthquake,5.6,90,5113550.0,16.0,1554393.11,65.85,150.0
2023,Turkey,Flood,0.2,2,21869.6,10.0,6645.34,80.49,128.0
2019,Bangladesh,Extreme Heat,4.6,133,154063.2,29.0,46807.79,34.15,40.0
2005,India,Cyclone,0.8,6,521059.0,8.0,158306.5,85.37,34.0
2021,Turkey,Storm Surge,0.5,1,83805.0,1.0,25459.96,100.0,149.0
2013,Indonesia,Tsunami,1.8,4,74709.0,2.0,22696.33,100.0,926.0
2022,Turkey,Drought,2.1,21,561208.2,10.0,170488.42,80.49,179.0
2018,Indonesia,Tsunami,2.0,38,47974.0,19.0,14570.01,58.54,386.0
2016,India,Flood,1.6,6,462948.0,4.0,140593.25,95.12,104.0
2018,India,Landslide,0.4,7,3020.4,17.0,917.0,63.41,90.0
2019,Philippines,Cyclone,0.5,8,23895.0,15.0,6211.0,68.29,60.0
2015,Turkey,Earthquake,0.1,0,77396.7,4.0,23494.98,95.12,309.0
1999,Philippines,Landslide,0.8,29,12288.8,36.0,3730.39,17.07,147.0
2017,Japan,Earthquake,1.4,6,451640.0,4.0,137093.28,95.12,19.0
2016,Japan,Extreme Cold,0.4,2,14172.4,4.0,4301.27,95.12,17.0
2001,Bangladesh,Flood,2.4,259,474411.0,108.0,143969.41,0.0,172.0
1999,Philippines,Volcanic Eruption,1.2,13,46771.2,11.0,14191.8,78.05,98.0
2008,Turkey,Earthquake,5.4,76,3240901.8,14.0,982902.6,70.73,55.0
2009,Philippines,Earthquake,0.1,1,113223.0,7.0,34336.64,87.8,852.0
2003,India,Landslide,2.7,11,153376.2,4.0,46505.75,95.12,99.0
2012,Bangladesh,Extreme Heat,3.3,168,305672.4,51.0,92661.62,0.0,37.0
2017,Indonesia,Earthquake,1.7,27,1263785.0,16.0,383092.73,65.85,856.0
2016,Japan,Earthquake,1.3,10,968033.0,8.0,293404.7,85.37,15.0
2014,Bangladesh,Storm Surge,5.5,66,854144.5,12.0,258878.5,75.61,121.0
2021,Philippines,Tsunami,1.1,10,4133968.0,9.0,1252748.11,82.93,825.0
2001,Nigeria,Storm Surge,2.1,32,3000000.0,15.0,909000.0,68.29,712.0
2020,India,Wildfire,2.9,119,90859.9,41.0,27529.24,4.88,117.0
2023,Bangladesh,Landslide,1.8,70,13127.4,39.0,3975.86,9.76,177.0
2020,Philippines,Cyclone,3.7,81,115488.1,22.0,34974.62,51.22,36.0
2006,Bangladesh,Flood,2.2,29,643027.0,13.0,194730.34,73.17,138.0
2022,Turkey,Earthquake,0.8,10,1112553.0,13.0,336906.11,73.17,144.0
2023,Japan,Landslide,0.8,3,11753.6,4.0,2044.0,95.12,7.0
2016,Indonesia,Earthquake,6.1,12,2891040.1,2.0,875347.07,100.0,340.0
2020,Japan,Landslide,1.0,4,21181.0,4.0,6412.34,95.12,7.0
2022,Bangladesh,Cyclone,1.5,62,129880.5,41.0,39318.78,4.88,70.0
2004,Turkey,Flood,1.3,5,570138.4,4.0,172586.1,95.12,104.0
2021,Bangladesh,Cyclone,0.4,8,16852.0,21.0,5099.49,53.66,95.0
2024,Philippines,Storm Surge,3.1,19,875518.0,6.0,264885.19,90.24,105.0
2005,Bangladesh,Storm Surge,4.4,57,163661.0,13.0,49514.57,73.17,153.0
2020,Indonesia,Volcanic Eruption,5.0,80,364080.0,16.0,110142.63,65.85,103.0
2022,Japan,Landslide,2.2,7,39795.8,3.0,12038.24,97.56,9.0
2018,Turkey,Drought,0.8,8,409572.8,10.0,123883.44,80.49,137.0
2011,Japan,Earthquake,1.5,9,231072.0,6.0,69875.44,90.24,9.0
2014,India,Wildfire,2.9,15,16086.0,5.0,6530.0,92.68,161.0
2010,Japan,Extreme Cold,3.6,25,52241.0,7.0,15795.53,87.8,29.0
2010,Turkey,Wildfire,2.6,34,127891.4,13.0,38665.28,73.17,80.0
2012,Philippines,Extreme Heat,0.5,11,17861.0,21.0,5397.3,53.66,24.0
2001,Indonesia,Landslide,0.9,37,20579.4,41.0,6218.64,4.88,164.0
2020,Philippines,Landslide,3.2,38,91977.6,12.0,27780.08,75.61,149.0
1999,Congo,Volcanic Eruption,5.9,30,1200000.0,5.0,362400.0,92.68,1387.0
2001,Nigeria,Drought,3.3,119,170000.0,36.0,51340.0,17.07,374.0
2016,Philippines,Landslide,3.5,63,28353.0,18.0,5012.0,60.98,179.0
2006,Bangladesh,Storm Surge,0.5,12,68303.0,23.0,20623.28,48.78,128.0
2020,Indonesia,Extreme Heat,2.6,8,135480.8,3.0,40904.63,97.56,61.0
2000,China,Drought,4.6,281,156081.0,61.0,47119.63,0.0,134.0
2021,Philippines,Cyclone,3.2,90,4939406.0,28.0,1490947.03,36.59,52.0
2015,Indonesia,Extreme Heat,3.9,35,157766.7,9.0,47618.52,82.93,52.0
2009,Philippines,Cyclone,6.1,146,7977803.0,24.0,2407921.71,46.34,72.0
2000,China,Volcanic Eruption,0.1,2,2190.1,21.0,661.0,53.66,173.0
2024,Bangladesh,Flood,4.5,126,1829749.5,28.0,552208.76,36.59,171.0
2019,Turkey,Flood,1.9,17,409117.0,9.0,123468.48,82.93,125.0
2001,India,Landslide,2.5,58,35410.0,23.0,10686.15,48.78,125.0
2015,India,Earthquake,2.5,45,4367619.0,18.0,1317992.52,60.98,411.0
2019,Turkey,Storm Surge,2.6,29,237531.0,11.0,71667.24,78.05,142.0
