year,country,disaster_type,severity_index,casualties,economic_loss,response_hours,aid_amount,response_score,recovery_days
2019,Indonesia,Landslide,0.4,4,"€19,590.80",11.00,"€5,871.00",78.05,179.00
2017,China,Extreme Heat,1.2,35,"€21,370.80",29.00,"€4,600.00",34.15,58.00
2019,Philippines,Extreme Heat,0.6,9,"€18,756.60",15.00,"€3,958.00",68.29,45.00
2022,Philippines,Landslide,1.5,14,"€13,947.00",9.00,"€9,280.00",82.93,136.00
1999,Turkey,Flood,0.1,1,"€20,269.00",10.00,"€7,791.00",80.49,129.00
2005,Philippines,Volcanic Eruption,0.3,3,"€18,509.80",10.00,"€2,435.00",80.49,174.00
2022,Indonesia,Landslide,0.3,1,"€10,708.20",2.00,"€8,954.00",100.00,164.00
2024,Bangladesh,Flood,1,20,"€16,112.00",20.00,"€9,776.00",56.10,129.00
2010,Turkey,Extreme Cold,2.8,8,"€13,060.00",3.00,"€2,342.00",97.56,33.00
2016,China,Landslide,2,20,"€16,132.00",10.00,"€2,070.00",80.49,151.00
2023,Japan,Tsunami,0.7,8,"€9,383.50",12.00,"€5,718.00",75.61,13.00
2019,Japan,Cyclone,3.5,11,"€22,802.50",3.00,"€6,427.00",97.56,9.00
2005,China,Cyclone,0.5,4,"€1,372.50",7.00,€651.00,87.80,68.00
2009,Bangladesh,Extreme Heat,0.8,46,"€20,498.40",57.00,"€8,364.00",0.00,53.00
2015,Indonesia,Storm Surge,0.2,3,"€21,208.00",16.00,"€7,366.00",65.85,173.00
1999,Bangladesh,Landslide,5.2,806,"€18,834.40",155.00,"€3,038.00",0.00,123.00
2021,Japan,Volcanic Eruption,3.1,3,"€21,724.80",1.00,"€6,451.00",100.00,19.00
2014,Indonesia,Landslide,0.3,2,"€1,460.00",6.00,€621.00,90.24,121.00
2024,India,Cyclone,0.6,13,€892.80,21.00,€743.00,53.66,58.00
2013,Philippines,Volcanic Eruption,1,9,"€21,660.00",9.00,"€5,095.00",82.93,173.00
2019,China,Landslide,0.4,5,€900.80,12.00,€517.00,75.61,110.00
2022,China,Volcanic Eruption,3.8,91,"€22,416.20",24.00,"€8,272.00",46.34,152.00
2020,Indonesia,Extreme Heat,0.2,1,"€17,171.20",4.00,"€8,998.00",95.12,40.00
2023,Indonesia,Storm Surge,0.8,12,"€14,253.00",15.00,"€2,399.00",68.29,139.00
1998,Philippines,Extreme Heat,0.9,26,"€23,160.60",29.00,"€4,047.00",34.15,9.00
2013,Philippines,Extreme Heat,1.9,8,"€19,039.90",4.00,"€6,294.00",95.12,40.00
2008,India,Drought,0.7,8,"€23,367.00",12.00,"€3,283.00",75.61,160.00
2013,India,Extreme Heat,0.3,7,"€12,291.90",22.00,"€2,925.00",51.22,30.00
2005,India,Cyclone,0.9,21,"€20,189.70",23.00,"€5,017.00",48.78,37.00
2012,India,Extreme Heat,1.2,10,"€25,335.60",8.00,"€3,470.00",85.37,49.00
2012,Bangladesh,Landslide,1.5,92,"€13,933.50",61.00,"€2,695.00",0.00,114.00
2003,Turkey,Wildfire,0.1,1,€644.30,10.00,€622.00,80.49,142.00
2021,China,Volcanic Eruption,1.7,10,"€1,613.00",6.00,€707.00,90.24,44.00
2001,Bangladesh,Cyclone,0.8,70,"€14,808.80",87.00,"€6,316.00",0.00,10.00
2013,India,Drought,2.1,32,"€21,622.00",15.00,"€8,606.00",68.29,110.00
2001,Japan,Tsunami,1.4,34,"€26,017.60",24.00,"€5,359.00",46.34,29.00
2013,Indonesia,Storm Surge,0.1,0,"€12,164.00",3.00,"€7,959.00",97.56,157.00
2016,Philippines,Cyclone,1.4,24,"€1,932.00",17.00,€632.00,63.41,57.00
2023,Bangladesh,Extreme Heat,0.4,11,"€22,810.00",28.00,"€9,440.00",36.59,14.00
2007,Philippines,Cyclone,2.3,21,"€26,364.90",9.00,"€4,997.00",82.93,40.00
2019,Bangladesh,Landslide,0.3,11,"€1,265.00",35.00,€474.00,19.51,126.00
2023,Japan,Extreme Cold,0.9,5,"€15,305.40",5.00,"€4,618.00",92.68,26.00
2009,Japan,Flood,0.4,4,"€1,648.80",11.00,€619.00,78.05,7.00
2022,China,Extreme Heat,1.6,3,"€21,444.80",2.00,"€2,572.00",100.00,94.00
2022,India,Storm Surge,0.6,9,"€26,322.00",15.00,"€4,102.00",68.29,162.00
2014,Japan,Cyclone,0.9,9,"€15,835.50",10.00,"€6,067.00",80.49,12.00
2024,Turkey,Drought,0.1,1,"€1,459.80",10.00,€532.00,80.49,162.00
2013,Indonesia,Landslide,0.8,14,"€21,409.60",17.00,"€6,951.00",63.41,133.00
2024,Bangladesh,Landslide,1.5,30,"€13,330.00",20.00,"€6,032.00",56.10,106.00
2005,China,Tornado,0.4,4,"€12,170.80",10.00,"€9,620.00",80.49,57.00
2022,Philippines,Landslide,0.8,2,"€21,512.80",3.00,"€5,521.00",97.56,119.00
2009,Bangladesh,Landslide,2,34,"€12,626.00",17.00,"€9,061.00",63.41,138.00
2012,Indonesia,Tsunami,1.5,29,"€23,199.00",19.00,"€5,893.00",58.54,894.00
2005,Philippines,Extreme Heat,0.5,5,"€1,075.00",9.00,€237.00,82.93,67.00
2016,Philippines,Landslide,0.4,1,"€21,901.20",3.00,"€8,768.00",97.56,167.00
2021,Indonesia,Extreme Heat,0.8,4,"€25,764.00",5.00,"€9,655.00",92.68,32.00
2002,India,Cyclone,0.6,7,"€12,763.20",12.00,"€5,773.00",75.61,37.00
2000,India,Extreme Heat,0.3,5,"€9,003.00",16.00,"€2,181.00",65.85,43.00
2013,Philippines,Cyclone,1.7,27,"€25,515.30",16.00,"€5,322.00",65.85,69.00
2019,China,Volcanic Eruption,0.9,6,"€26,078.40",7.00,"€3,836.00",87.80,103.00
2024,Philippines,Landslide,0.1,0,"€1,646.00",2.00,€343.00,100.00,171.00
2005,Japan,Extreme Cold,2.9,6,"€20,793.00",2.00,"€7,672.00",100.00,30.00
2004,Philippines,Volcanic Eruption,2.4,31,"€1,871.00",13.00,€517.00,73.17,141.00
2004,Turkey,Flood,1.2,11,"€24,372.00",9.00,"€9,193.00",82.93,165.00
2010,Philippines,Volcanic Eruption,0.9,6,"€28,249.20",7.00,"€8,152.00",87.80,92.00
2008,Indonesia,Storm Surge,0.2,3,"€1,654.20",16.00,€731.00,65.85,98.00
2013,China,Cyclone,3.5,56,"€26,649.00",16.00,"€4,821.00",65.85,67.00
2019,Philippines,Cyclone,0.2,6,"€2,058.20",30.00,€321.00,31.71,48.00
2014,China,Cyclone,1.1,8,"€20,666.80",7.00,"€4,637.00",87.80,60.00
2008,Indonesia,Landslide,0.3,5,€950.10,18.00,€292.00,60.98,114.00
2001,China,Cyclone,4.4,106,"€26,809.20",24.00,"€9,258.00",46.34,57.00
2024,India,Drought,1,8,"€27,583.00",8.00,"€6,934.00",85.37,127.00
2024,Japan,Volcanic Eruption,1,5,"€22,960.00",5.00,"€4,627.00",92.68,25.00
2007,Bangladesh,Flood,0.4,13,"€26,400.00",32.00,"€8,029.00",26.83,151.00
2015,India,Extreme Heat,1.8,32,"€29,779.20",18.00,"€9,054.00",60.98,36.00
2023,India,Cyclone,1.2,26,"€19,136.40",22.00,"€3,817.00",51.22,27.00
1996,China,Drought,2.8,92,"€20,467.00",33.00,"€5,857.00",24.39,59.00
2019,India,Wildfire,0.5,1,"€10,212.50",1.00,"€2,733.00",100.00,161.00
1995,India,Wildfire,0.9,47,"€22,556.70",52.00,"€3,743.00",0.00,150.00
2013,Bangladesh,Extreme Heat,0.1,5,"€1,428.30",52.00,€603.00,0.00,57.00
2015,Philippines,Landslide,1.5,18,"€18,784.50",12.00,"€5,492.00",75.61,137.00
2024,Indonesia,Landslide,0.6,2,"€24,693.00",3.00,"€9,690.00",97.56,170.00
2014,Philippines,Landslide,0.7,6,"€15,271.20",8.00,"€6,212.00",85.37,119.00
2010,Philippines,Landslide,0.2,1,"€1,921.20",4.00,€678.00,95.12,138.00
2006,Turkey,Wildfire,1.1,7,"€29,936.50",6.00,"€2,870.00",90.24,138.00
2015,Indonesia,Landslide,0.1,1,"€1,457.90",12.00,€596.00,75.61,137.00
2020,India,Drought,0.8,2,"€1,096.00",3.00,€286.00,97.56,104.00
2003,Turkey,Wildfire,1.2,6,"€28,826.40",5.00,"€7,462.00",92.68,72.00
1992,Indonesia,Tsunami,1.6,94,"€2,248.00",59.00,€506.00,0.00,504.00
2015,Indonesia,Landslide,1.2,20,"€28,388.40",17.00,"€6,317.00",63.41,173.00
2019,Indonesia,Extreme Heat,1.5,27,"€25,228.50",18.00,"€9,150.00",60.98,48.00
2006,China,Volcanic Eruption,1.5,20,"€29,518.50",13.00,"€6,423.00",73.17,177.00
2010,Bangladesh,Tornado,0.5,24,"€1,618.00",47.00,€253.00,0.00,108.00
2003,China,Extreme Heat,3.8,57,"€28,500.00",15.00,"€4,592.00",68.29,35.00
2014,Indonesia,Tsunami,0.5,9,"€28,056.00",17.00,"€5,514.00",63.41,272.00
2010,Bangladesh,Tornado,0.6,28,"€28,692.00",46.00,"€5,131.00",0.00,112.00
2020,Turkey,Storm Surge,0.9,11,"€31,518.00",12.00,"€2,181.00",75.61,141.00
2023,Turkey,Extreme Cold,2.1,23,"€21,531.30",11.00,"€5,047.00",78.05,72.00
2010,Indonesia,Tsunami,1.2,24,"€19,327.20",20.00,"€7,915.00",56.10,749.00
2023,Philippines,Cyclone,0.8,7,"€22,771.20",9.00,"€5,651.00",82.93,51.00
2019,China,Extreme Heat,0.3,2,"€1,557.00",5.00,€603.00,92.68,64.00
1998,India,Wildfire,1.6,42,"€26,124.80",26.00,"€7,643.00",41.46,170.00
2005,Turkey,Extreme Cold,0.4,7,"€23,039.20",17.00,"€5,437.00",63.41,57.00
2010,China,Volcanic Eruption,2.4,53,"€31,363.00",22.00,"€2,069.00",51.22,22.00
2018,Turkey,Flood,2.9,35,"€326,074.00",12.00,"€100,544.88",75.61,117.00
2004,Bangladesh,Landslide,3.2,221,"€107,497.60",69.00,"€33,145.20",0.00,95.00
2016,Turkey,Earthquake,2.1,2,"€364,761.00",1.00,"€112,446.30",100.00,97.00
2016,Japan,Extreme Cold,1.5,2,"€33,276.00",1.00,"€10,255.79",100.00,22.00
1997,Philippines,Landslide,3,21,"€116,187.00",7.00,"€35,801.96",87.80,149.00
2001,Bangladesh,Flood,2.7,392,"€357,982.00",145.00,"€110,302.10",0.00,156.00
2022,Bangladesh,Extreme Heat,3.5,105,"€44,590.00",30.00,"€13,738.94",31.71,50.00
2021,India,Flood,5.7,103,"€1,404,964.50",18.00,"€432,836.29",60.98,141.00
2020,Bangladesh,Flood,1.5,62,"€257,146.00",41.00,"€79,213.16",4.88,159.00
1995,Nigeria,Flood,2.1,86,"€150,000.00",41.00,"€46,200.00",4.88,800.00
2000,Nigeria,Drought,1.2,65,"€1,290,000.00",54.00,"€397,320.00",0.00,317.00
2005,Indonesia,Volcanic Eruption,1.1,8,"€54,407.10",7.00,"€16,756.03",87.80,165.00
2023,India,Drought,0.7,1,"€19,970.00",2.00,"€3,237.00",100.00,164.00
2016,Indonesia,Landslide,3.8,38,"€104,781.20",10.00,"€32,265.69",80.49,101.00
2000,Japan,Earthquake,1.3,26,"€1,154,445.00",20.00,"€355,488.62",56.10,20.00
2003,China,Storm Surge,2.2,18,"€528,378.40",8.00,"€162,703.13",85.37,33.00
2001,Philippines,Volcanic Eruption,1.1,18,"€71,348.20",16.00,"€21,944.41",65.85,137.00
2010,China,Extreme Heat,3.3,33,"€145,589.40",10.00,"€44,778.33",80.49,38.00
2017,Philippines,Flood,2.3,37,"€313,356.60",16.00,"€96,354.57",65.85,97.00
2007,India,Landslide,0.4,6,"€28,384.40",16.00,"€8,722.97",65.85,139.00
1998,Philippines,Extreme Heat,3.4,24,"€167,103.20",7.00,"€51,348.99",87.80,34.00
2020,Philippines,Landslide,3.3,20,"€145,906.20",6.00,"€44,828.61",90.24,166.00
2022,Indonesia,Tsunami,6.9,124,"€490,100.10",18.00,"€150,571.10",60.98,773.00
2019,China,Volcanic Eruption,1,3,"€20,501.00",3.00,"€4,346.00",97.56,68.00
2011,Japan,Volcanic Eruption,0.4,4,"€6,747.60",9.00,"€2,072.84",82.93,23.00
1993,Philippines,Earthquake,0.4,15,"€333,316.00",37.00,"€102,386.34",14.63,159.00
2006,Japan,Flood,2.2,40,"€41,034.40",18.00,"€12,602.94",60.98,21.00
2018,Indonesia,Flood,3.1,16,"€636,612.00",5.00,"€195,519.12",92.68,91.00
2021,China,Extreme Heat,0.7,15,"€60,685.10",21.00,"€18,637.87",53.66,28.00
2005,India,Storm Surge,6.2,50,"€1,679,294.80",8.00,"€515,655.11",85.37,151.00
2016,Philippines,Cyclone,6.7,94,"€257,206.30",14.00,"€78,971.90",70.73,72.00
2021,Philippines,Flood,0.7,13,"€103,089.70",19.00,"€31,650.95",58.54,148.00
2013,China,Volcanic Eruption,3.1,31,"€202,966.00",10.00,"€62,297.35",80.49,20.00
2007,Turkey,Earthquake,0.9,5,"€940,689.00",5.00,"€288,663.97",92.68,111.00
2007,Bangladesh,Storm Surge,5.1,326,"€541,099.80",64.00,"€166,044.11",0.00,137.00
2004,India,Earthquake,2.6,49,"€2,872,188.00",19.00,"€881,294.63",58.54,954.00
2012,India,Landslide,1.7,22,"€140,474.40",13.00,"€43,089.68",73.17,126.00
2021,India,Storm Surge,5.2,94,"€748,921.00",18.00,"€229,710.21",60.98,174.00
2009,Indonesia,Earthquake,2.2,26,"€2,003,635.00",12.00,"€614,502.56",75.61,759.00
2016,China,Volcanic Eruption,2.4,14,"€58,269.60",6.00,"€17,867.94",90.24,77.00
2017,Turkey,Earthquake,4.6,23,"€1,102,472.80",5.00,"€338,020.60",92.68,43.00
2020,Indonesia,Flood,1.5,11,"€296,372.00",7.00,"€90,865.34",87.80,178.00
2018,Bangladesh,Extreme Heat,0.4,12,"€33,629.00",29.00,"€10,309.25",34.15,73.00
2000,Philippines,Extreme Heat,1.3,14,"€42,972.80",11.00,"€13,172.71",78.05,42.00
2007,China,Extreme Heat,1.3,16,"€77,049.70",12.00,"€23,613.42",75.61,45.00
2022,China,Volcanic Eruption,3.3,36,"€131,019.90",11.00,"€40,153.25",78.05,123.00
1997,Philippines,Earthquake,1,21,"€295,090.00",21.00,"€90,405.57",53.66,936.00
2011,India,Earthquake,0.7,15,"€631,507.00",21.00,"€193,383.81",53.66,797.00
2006,Turkey,Extreme Cold,0.6,10,"€26,306.00",17.00,"€8,055.43",63.41,61.00
2015,Japan,Flood,1.8,14,"€29,823.00",8.00,"€9,131.40",85.37,19.00
2005,China,Landslide,5,155,"€141,395.00",31.00,"€43,286.18",29.27,26.00
2023,China,Cyclone,2.5,25,"€2,800.00",10.00,€857.00,80.49,84.00
1990,Congo,Flood,5.1,367,"€190,000.00",72.00,"€58,140.00",0.00,820.00
1993,South Africa,Wildfire,1.8,22,"€2,850,000.00",12.00,"€872,100.00",75.61,342.00
1999,Congo,Volcanic Eruption,5.4,227,"€310,000.00",42.00,"€94,860.00",2.44,634.00
2001,South Africa,Drought,4.1,49,"€390,000.00",12.00,"€119,340.00",75.61,290.00
2001,South Africa,Flood,6.9,41,"€240,000.00",6.00,"€73,440.00",90.24,390.00
2001,South Africa,Wildfire,0.1,2,"€1,300,000.00",19.00,"€397,800.00",58.54,218.00
2001,South Africa,Wildfire,4.3,65,"€2,200,000.00",15.00,"€673,200.00",68.29,293.00
2018,India,Extreme Heat,1.7,7,"€60,418.00",4.00,"€18,480.53",95.12,83.00
2002,India,Landslide,6,210,"€363,258.00",35.00,"€111,111.74",19.51,177.00
2018,India,Flood,2.3,2,"€841,312.40",1.00,"€257,271.50",100.00,159.00
2007,India,Extreme Heat,2.8,36,"€142,819.00",13.00,"€43,669.07",73.17,48.00
2012,Philippines,Storm Surge,0.1,1,"€14,840.20",13.00,"€4,536.21",73.17,176.00
2006,India,Extreme Heat,0.2,4,"€9,276.60",20.00,"€2,835.55",56.10,46.00
2003,China,Landslide,2.4,41,"€53,812.80",17.00,"€16,445.16",63.41,145.00
2006,Indonesia,Volcanic Eruption,7.9,55,"€350,003.00",7.00,"€106,948.01",87.80,156.00
1994,Japan,Storm Surge,0.3,4,"€25,138.50",12.00,"€7,676.68",75.61,25.00
2020,Japan,Landslide,0.3,2,"€4,183.20",6.00,"€1,277.27",90.24,16.00
2010,Indonesia,Tsunami,7.8,78,"€280,753.20",10.00,"€85,710.68",80.49,978.00
1998,Indonesia,Storm Surge,0.2,5,"€30,870.60",25.00,"€9,423.70",43.90,173.00
2010,Indonesia,Tsunami,0.5,6,"€27,666.50",12.00,"€8,445.31",75.61,431.00
1998,India,Extreme Heat,0.7,8,"€58,014.60",11.00,"€17,706.59",78.05,24.00
2016,India,Landslide,4.2,59,"€207,891.60",14.00,"€63,426.69",70.73,124.00
2017,Bangladesh,Flood,4.3,60,"€1,112,679.00",14.00,"€339,424.28",70.73,134.00
2018,Turkey,Earthquake,5.4,65,"€4,117,181.00",12.00,"€1,255,851.63",75.61,289.00
1991,Nigeria,Storm Surge,1.9,61,"€60,000.00",32.00,"€18,300.00",26.83,304.00
1993,South Africa,Drought,0.4,5,"€480,000.00",12.00,"€146,400.00",75.61,189.00
1994,South Africa,Drought,1,20,"€390,000.00",20.00,"€118,950.00",56.10,334.00
2001,South Africa,Drought,4.1,41,"€330,000.00",10.00,"€100,650.00",80.49,220.00
2024,China,Tsunami,2.3,12,"€167,647.00",5.00,"€51,127.53",92.68,208.00
2014,Bangladesh,Storm Surge,5.6,297,"€1,084,980.00",53.00,"€330,775.69",0.00,99.00
1995,China,Earthquake,1.2,67,"€1,808,542.00",56.00,"€551,336.72",0.00,21.00
1998,Philippines,Cyclone,1.9,53,"€108,583.10",28.00,"€33,081.44",36.59,8.00
2020,Bangladesh,Storm Surge,2.9,17,"€372,088.00",6.00,"€113,307.66",90.24,177.00
2020,India,Landslide,0.5,9,"€25,019.50",17.00,"€7,616.91",63.41,173.00
2024,Indonesia,Landslide,4,36,"€261,052.00",9.00,"€79,470.03",82.93,99.00
2023,Philippines,Flood,1.5,5,"€208,230.00",3.00,"€63,374.40",97.56,99.00
2011,Philippines,Tsunami,2.6,5,"€14,446,237.00",2.00,"€4,396,327.56",100.00,146.00
2012,China,Cyclone,0.4,9,"€338,425.00",22.00,"€102,963.08",51.22,46.00
2016,Philippines,Earthquake,0.2,1,"€78,628.00",3.00,"€23,916.58",97.56,790.00
2007,India,Drought,1.3,25,"€406,237.00",19.00,"€123,533.19",58.54,169.00
2004,Bangladesh,Flood,1,20,"€224,614.00",20.00,"€68,301.87",56.10,153.00
2021,Turkey,Flood,0.9,1,"€209,420.10",1.00,"€63,677.49",100.00,95.00
1995,Bangladesh,Extreme Heat,3.1,90,"€173,004.80",29.00,"€52,597.01",34.15,30.00
1998,Bangladesh,Landslide,5.3,737,"€272,594.90",139.00,"€82,871.31",0.00,178.00
1990,South Africa,Drought,0.2,4,"€50,000.00",22.00,"€15,200.00",51.22,242.00
1996,South Africa,Flood,1.8,36,"€470,000.00",20.00,"€142,880.00",56.10,277.00
2000,Nigeria,Flood,5.1,296,"€470,000.00",58.00,"€142,880.00",0.00,517.00
2022,Turkey,Earthquake,5.6,90,"€5,113,550.00",16.00,"€1,554,393.11",65.85,150.00
2023,Turkey,Flood,0.2,2,"€21,869.60",10.00,"€6,645.34",80.49,128.00
2019,Bangladesh,Extreme Heat,4.6,133,"€154,063.20",29.00,"€46,807.79",34.15,40.00
2005,India,Cyclone,0.8,6,"€521,059.00",8.00,"€158,306.50",85.37,34.00
2021,Turkey,Storm Surge,0.5,1,"€83,805.00",1.00,"€25,459.96",100.00,149.00
2013,Indonesia,Tsunami,1.8,4,"€74,709.00",2.00,"€22,696.33",100.00,926.00
2022,Turkey,Drought,2.1,21,"€561,208.20",10.00,"€170,488.42",80.49,179.00
2018,Indonesia,Tsunami,2,38,"€47,974.00",19.00,"€14,570.01",58.54,386.00
2016,India,Flood,1.6,6,"€462,948.00",4.00,"€140,593.25",95.12,104.00
2018,India,Landslide,0.4,7,"€3,020.40",17.00,€917.00,63.41,90.00
2019,Philippines,Cyclone,0.5,8,"€23,895.00",15.00,"€6,211.00",68.29,60.00
2015,Turkey,Earthquake,0.1,0,"€77,396.70",4.00,"€23,494.98",95.12,309.00
1999,Philippines,Landslide,0.8,29,"€12,288.80",36.00,"€3,730.39",17.07,147.00
2017,Japan,Earthquake,1.4,6,"€451,640.00",4.00,"€137,093.28",95.12,19.00
2016,Japan,Extreme Cold,0.4,2,"€14,172.40",4.00,"€4,301.27",95.12,17.00
2001,Bangladesh,Flood,2.4,259,"€474,411.00",108.00,"€143,969.41",0.00,172.00
1999,Philippines,Volcanic Eruption,1.2,13,"€46,771.20",11.00,"€14,191.80",78.05,98.00
2008,Turkey,Earthquake,5.4,76,"€3,240,901.80",14.00,"€982,902.60",70.73,55.00
2009,Philippines,Earthquake,0.1,1,"€113,223.00",7.00,"€34,336.64",87.80,852.00
2003,India,Landslide,2.7,11,"€153,376.20",4.00,"€46,505.75",95.12,99.00
2012,Bangladesh,Extreme Heat,3.3,168,"€305,672.40",51.00,"€92,661.62",0.00,37.00
2017,Indonesia,Earthquake,1.7,27,"€1,263,785.00",16.00,"€383,092.73",65.85,856.00
2016,Japan,Earthquake,1.3,10,"€968,033.00",8.00,"€293,404.70",85.37,15.00
2014,Bangladesh,Storm Surge,5.5,66,"€854,144.50",12.00,"€258,878.50",75.61,121.00
2021,Philippines,Tsunami,1.1,10,"€4,133,968.00",9.00,"€1,252,748.11",82.93,825.00
